config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid
134,2.3086,2.602,2.9136,2.4668737514914025,0.8882896748555889,2.578289674855589
136,2.4561,2.9222,3.2554,2.979795439859685,1.4015265597234594,3.0915265597234596
104,2.3735,2.7138,3.1145,2.6319376220651844,1.0534549791479935,2.7434549791479936
50,2.4707,2.7827,3.126,2.7725428918510886,1.194146652550405,2.884146652550405
176,2.2656,2.4778,2.7176,2.341859952690589,0.7631990535832835,2.4531990535832833
56,2.4532,2.8005,3.213,2.8065341055474042,1.2281587542532464,2.9181587542532466
70,2.3037,2.5518,2.8291,2.419619444077477,0.8410063291057439,2.531006329105744
40,2.6429,3.0208,3.4402,3.321197432774963,1.7431383482382599,3.43313834823826
75,2.1365,2.3606,2.751,2.153830263371689,0.5750538177760289,2.265053817776029
190,2.2385,2.5185,2.8377,2.3369289617918394,0.7582650325317719,2.448265032531772
78,2.3633,2.6259,2.9165,2.52463347004318,0.9460848874438199,2.63608488744382
51,2.2634,2.5512,2.8688,2.3844831411876157,0.8058484345383798,2.49584843453838
29,2.2802,2.5573,2.8514,2.4066773550689917,0.8280562870290897,2.51805628702909
110,2.0886,2.3309,2.6089,2.0968012029936878,0.517989712359743,2.207989712359743
37,2.3393,2.6393,2.982,2.5207014186105736,0.9421504197186763,2.632150419718676
7,2.2678,2.5025,2.7487,2.3603209253567483,0.7816713707374909,2.471671370737491
165,2.344,2.6445,2.9631,2.5342818010987123,0.9557391475139456,2.645739147513946
65,2.452,2.7826,3.1306,2.7716633437341347,1.1932665639406352,2.8832665639406354
41,2.7733,3.2256,3.7006,4.091338110295852,2.513752286397663,4.203752286397663
116,2.5792,2.9419,3.3294,3.1041775846845936,1.5259851388609522,3.215985138860952
77,2.2282,2.4835,2.7542,2.3113972849772995,0.7327176661970907,2.422717666197091
52,2.3766,2.6865,3.026,2.6003157896471087,1.0218137147364674,2.7118137147364676
69,2.1855,2.4254,2.6916,2.2389545607124517,0.6602304250135267,2.3502304250135264
164,2.4189,2.7277,3.0504,2.676031415083413,1.0975758683283223,2.7875758683283225
74,1.9268,2.0391,2.1666,1.9030217399014255,0.32409116947451455,2.0140911694745145
172,2.3679,2.6684,2.9865,2.575501536472211,0.996984212906818,2.686984212906818
138,2.5114,2.8904,3.3099,3.0114269308802846,1.4331774886728355,3.1231774886728356
85,2.53,2.8215,3.1264,2.8400468078876537,1.261692050549082,2.951692050549082
167,2.32,2.5761,2.8446,2.4540403320388164,0.8754483691135733,2.5654483691135734
145,2.4493,2.801,3.218,2.8077530876784778,1.229378485463389,2.9193784854633886
197,2.3203,2.635,3.001,2.5012114148701428,0.9226484391383198,2.6126484391383196
133,2.2031,2.4269,2.6685,2.259909990950046,0.6811987326131199,2.37119873261312
151,2.227,2.4163,2.6093,2.2818573596408394,0.7031595882239314,2.3931595882239316
127,2.6382,3.0364,3.4922,3.4378317351561165,1.85984432379034,3.5498443237903397
192,2.6047,2.9661,3.3547,3.156583726073036,1.5784234844487826,3.2684234844487827
45,2.3396,2.6015,2.8842,2.4879840786767895,0.9094129745889983,2.599412974588998
80,2.5622,2.8948,3.198,2.955310970152921,1.3770270440178212,3.067027044017821
186,2.7021,3.1227,3.5649,3.6411202157449156,2.063257727576854,3.753257727576854
6,2.0278,2.1832,2.3503,2.016762416090068,0.4379017406662513,2.1279017406662515
183,2.582,2.9206,3.2851,3.0418282224869424,1.4635974622360466,3.1535974622360463
4,2.0709,2.2255,2.3885,2.071030959716217,0.492203632960192,2.182203632960192
42,2.585,2.9053,3.2493,3.0003655457419542,1.422109306181312,3.1121093061813117
90,2.2466,2.4898,2.7556,2.3316862252667314,0.7530190742824934,2.4430190742824935
12,2.5767,2.9078,3.0311,2.858398413208962,1.2800549331508997,2.9700549331509
32,2.2474,2.5041,2.7789,2.3412175158635207,0.7625562219711173,2.4525562219711174
182,1.9645,2.1073,2.2765,1.9419401023023155,0.36303344767361834,2.0530334476736183
10,2.4174,2.7106,3.0214,2.650860189407819,1.0723891746341143,2.762389174634114
15,2.2434,2.5308,2.8909,2.342976973781199,0.7643167610966863,2.4543167610966865
89,2.6945,3.0907,3.5167,3.5120736084295117,1.9341318195809911,3.624131819580991
135,2.2793,2.5879,2.9123,2.4308128729254532,0.8522066364493488,2.5422066364493485
39,2.6059,2.9843,3.4138,3.244952759755697,1.666846821957389,3.3568468219573893
53,2.1715,2.4416,2.744,2.2272104890474314,0.6484791364762941,2.338479136476294
35,2.5087,2.8935,3.3351,3.031145978476899,1.452908653859559,3.1429086538595588
27,2.5529,2.904,3.2854,3.018256252399738,1.4400110068918754,3.130011006891875
63,2.4815,2.7987,3.1354,2.801710474694962,1.2233321592220718,2.9133321592220716
25,2.4704,2.7595,2.9854,2.7072302321930595,1.128793857483463,2.8187938574834632
174,2.7638,3.2108,3.6678,3.932836765028799,2.3551535401621164,4.045153540162117
83,2.4401,2.7982,3.1952,2.801640685219985,1.2232623268606295,2.9132623268606297
66,2.1934,2.4674,2.7968,2.2595938560718976,0.6808824034663157,2.3708824034663154
95,2.4191,2.7579,3.1322,2.722276704860069,1.1438495763875165,2.8338495763875162
195,2.3116,2.5925,2.8905,2.460816830750347,0.8822290320644444,2.5722290320644445
26,2.1294,2.3632,2.6216,2.155618883760715,0.5768435372936322,2.2668435372936324
43,2.1952,2.4328,2.6933,2.2528734483150243,0.6741578659386629,2.3641578659386626
144,2.06,2.2651,2.483,2.0560743288970196,0.47723781111283814,2.1672378111128383
31,2.3736,2.6654,3.004,2.5696070785830343,0.9910861328029139,2.681086132802914
5,2.2295,2.5107,2.8388,2.321709791510633,0.7430365098887759,2.433036509888776
149,2.153,2.4028,2.6696,2.1946111945992715,0.6158598093726002,2.3058598093726
44,2.3929,2.6678,2.9558,2.587870953148502,1.0093612307372946,2.6993612307372947
19,1.9765,2.0722,2.1709,1.9625077346878013,0.3836137191146942,2.073613719114694
159,2.3589,2.663,2.9968,2.5619360733739582,0.983410413669578,2.673410413669578
141,2.2962,2.5913,2.9544,2.4369901372163554,0.8583876967428876,2.5483876967428873
