config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid,,,,,,,
,2.0704,2.79504,3.51968,,,,,,,,,,
100,1.7863,1.867,1.9767,1.76065211759186,0.181634059332753,1.87163405933275,,,1.73776678529063,,-0.0229867835851497,0.0276136232725283,1.71552448979592
132,1.8375,1.9371,2.0384,1.80089025415409,0.221896922710171,1.91189692271017,,2.18369871550309,,,0.129571728227612,0.00161872964011382,1.56229591836735
72,1.9014,2.1247,2.3895,1.83877724731368,0.259807197879269,1.94980719787927,,2.07093425670362,,,0.115890057723241,0.0395160470968944,1.49207346938776
33,1.9186,2.0838,2.2726,1.8788814313108,0.299936026376133,1.98993602637613,,2.20065267892522,,,0.118640191779957,0.0224717761804025,1.57664081632653
74,1.9268,2.0391,2.1666,1.90302173990143,0.324091169474515,2.01409116947451,,2.08887516551251,,,0.0845543008548073,0.0144733473704288,1.68969795918368
73,1.9478,2.1283,2.3408,1.91277463584865,0.333850058692703,2.0238500586927,,2.13149466488225,,,0.100838248746172,0.0304702049903766,1.60841224489796
182,1.9645,2.1073,2.2765,1.94194010230232,0.363033447673618,2.05303344767362,,2.07650983752643,,,0.0747563322083076,0.0251379191170604,1.7019693877551
187,1.9848,2.1769,2.3871,1.95616927229576,0.377271361661856,2.06727136166186,,,1.94773255394882,,0.181242705737624,0.017234709697682,1.53567755102041
19,1.9765,2.0722,2.1709,1.9625077346878,0.383613719114694,2.07361371911469,,2.41658962349114,,,0.118167050436868,0.00285658171784771,1.71960204081633
191,1.9867,2.1789,2.4295,1.96323246433966,0.384338894121576,2.07433889412158,,,1.93586075298731,,-0.0053228401097684,0.0556081241074362,1.75935306122449
93,2.0103,2.1826,2.3678,1.99255871677822,0.413683167892292,2.10368316789229,,,1.98776642913407,,0.178009573226507,0.0122833013867456,1.58909591836735
147,2.0232,2.1539,2.3024,2.01372897089281,0.434866431380708,2.12486643138071,,2.30889610036198,,,0.0979008295744885,0.0169490515258966,1.74785306122449
6,2.0278,2.1832,2.3503,2.01676241609007,0.437901740666251,2.12790174066625,,,2.01309917463924,,0.160247058637982,0.0111406686996066,1.6482693877551
20,2.0484,2.2394,2.4511,2.04111668195174,0.462270972514981,2.15227097251498,,,2.03515742322613,,0.167679320569029,0.0197104138531498,1.61674693877551
144,2.06,2.2651,2.483,2.05607432889702,0.477237811112838,2.16723781111284,,,2.05270082498603,,0.223736712613946,0.0121880819961509,1.5445306122449
152,2.0639,2.2371,2.5046,2.0625379606852,0.483705414879899,2.1737054148799,,,2.03847573948852,,-0.197861795413685,0.0897918853310147,2.08865510204082
4,2.0709,2.2255,2.3885,2.07103095971622,0.492203632960192,2.18220363296019,,,2.0692474197653,,0.174431441819383,0.00799842880997422,1.67547142857143
71,2.0719,2.2784,2.4974,2.07247287907859,0.493646438399219,2.18364643839922,,,2.06957422362877,,0.227058559126897,0.0119024238243655,1.55077755102041
196,2.0825,2.2532,2.451,2.08585862035626,0.507040405374674,2.19704040537467,,2.49110441362505,,,0.110015219379869,0.0258044548512247,1.74411224489796
110,2.0886,2.3309,2.6089,2.09680120299369,0.517989712359743,2.20798971235974,,,2.0895109388792,,0.168980459262531,0.0339933224423883,1.59302857142857
140,2.0891,2.3554,2.7157,2.0973080804907,0.51849690133903,2.20849690133903,,,2.07574369297094,,-0.0679943538466423,0.0895062271592302,1.84620204081633
131,2.0992,2.342,2.6201,2.11226735801719,0.533465371520107,2.22346537152011,,,2.10617486230495,,0.171523593981641,0.0336124448800087,1.59999591836735
124,2.106,2.317,2.5453,2.11984833620853,0.54105100831303,2.23105100831303,,,2.11734707882004,,0.211030896129705,0.0164729545729218,1.5984693877551
84,2.1095,2.345,2.6264,2.12591962996018,0.547126032947159,2.23712603294716,,2.50243419480843,,,0.112341497650065,0.0437057002830705,1.6895612244898
11,2.112,2.313,2.5457,2.12640405464755,0.547610755319277,2.23761075531928,,2.8887039056855,,,0.130518010913794,0.0301845468185912,1.71238775510204
79,2.1161,2.347,2.6114,2.1354627775202,0.556675044885256,2.24667504488526,,,2.13134497019504,,0.163440762703843,0.0318984958493002,1.64097755102041
75,2.1365,2.3606,2.751,2.15383026337169,0.575053817776029,2.26505381777603,,,2.13703815296645,,-0.461184667066211,0.158349846559361,2.4125612244898
179,2.1468,2.3105,2.6826,2.15518855017375,0.576412939261538,2.26641293926154,,,2.13650617273139,,-0.739579061918429,0.198437209999824,2.82741224489796
26,2.1294,2.3632,2.6216,2.15561888376072,0.576843537293632,2.26684353729363,,,2.1535335645923,,0.208675046525565,0.0234239700863517,1.59695102040816
94,2.1278,2.3913,2.709,2.15615569697593,0.57738068038697,2.26738068038697,,2.5154242381193,,,0.112528782765038,0.0516089097024494,1.67359591836735
149,2.153,2.4028,2.6696,2.19461119459927,0.6158598093726,2.3058598093726,,,2.19434844391074,,0.26596457748478,0.0161872964011374,1.53295918367347
62,2.1582,2.3776,2.6086,2.19514158097113,0.616390521673214,2.30639052167321,,,2.1949843771691,,0.249030060246666,0.0110454493090111,1.59526122448979
121,2.1689,2.4212,2.6974,2.21853211691536,0.63979543138097,2.32979543138097,,,2.21916638791749,,0.237447954452258,0.0227574343521876,1.57973673469388
53,2.1715,2.4416,2.744,2.22721048904743,0.648479136476294,2.33847913647629,,,2.22861557365208,,0.223096000378513,0.0307558631621608,1.57776530612245
142,2.1791,2.4334,2.723,2.23313573308808,0.654408021650131,2.34440802165013,,,2.23498298025875,,0.187393543197802,0.0336124448800091,1.64703877551021
185,2.1897,2.3936,2.6131,2.23451142609841,0.655784560040229,2.34578456004023,,,2.23526428822085,,0.209108759423397,0.0148542249328085,1.69308775510204
69,2.1855,2.4254,2.6916,2.23895456071245,0.660230425013527,2.35023042501353,,,2.24052601058829,,0.209217187647851,0.0250426997264663,1.64498979591837
119,2.1872,2.4374,2.7092,2.24576953926539,0.66704959145213,2.35704959145213,,,2.24732444137693,,0.24520550105668,0.0205673883685042,1.59136326530613
67,2.1907,2.4316,2.687,2.24859483849991,0.669876626866745,2.35987662686675,,,2.24967549091621,,0.265264722581459,0.0138068116362642,1.58231224489796
181,2.2006,2.4122,2.6418,2.25191354398194,0.673197371732907,2.36319737173291,,,2.25327081977621,,0.208615903857677,0.0171394903070869,1.69521224489796
128,2.1879,2.4553,2.7505,2.25247131762984,0.673755488139373,2.36375548813937,,,2.2548807626953,,0.240217802731599,0.0264709905853899,1.57708367346939
43,2.1952,2.4328,2.6933,2.25287344831502,0.674157865938663,2.36415786593866,,,2.25473811195918,,0.221794861685014,0.0218052404462379,1.64252653061225
82,2.1879,2.4703,2.7814,2.25841379289207,0.679701615123581,2.36970161512358,,,2.26128785747116,,0.256748178405827,0.027327965100744,1.53918571428572
66,2.1934,2.4674,2.7968,2.2595938560719,0.680882403466316,2.37088240346632,,2.86065871792042,,,0.12145932561587,0.052751542389589,1.71580816326531
133,2.2031,2.4269,2.6685,2.25990999095005,0.68119873261312,2.37119873261312,,,2.26150046482633,,0.226378418446201,0.0169490515258971,1.66175306122449
146,2.2015,2.4526,2.7268,2.26751726756836,0.68881068399371,2.37881068399371,,,2.26999401718652,,0.239498233605652,0.0219956792274278,1.61135714285714
122,2.2004,2.4566,2.7386,2.26754778019945,0.688841215375178,2.37884121537518,,,2.27035444527374,,0.234027536826165,0.0245666027734911,1.61056326530613
143,2.2182,2.4171,2.6253,2.2728260186484,0.694122697364659,2.38412269736466,,,2.27377868698305,,0.231395688105225,0.00885540332532828,1.70115918367347
130,2.2054,2.4707,2.764,2.27884603557459,0.700146413663105,2.39014641366311,,,2.28247335219533,,0.236393243541619,0.0266614293665793,1.60168571428572
188,2.2017,2.4761,2.7646,2.27939248293186,0.700693196818799,2.3906931968188,,,2.2812403348451,,0.313347711573036,0.0134259340738846,1.49539387755102
199,2.2041,2.4774,2.7781,2.28053065044701,0.701832063751467,2.39183206375147,,,2.28421770100235,,0.25021291360439,0.0260901130230097,1.57422244897959
98,2.2246,2.4255,2.6417,2.28156359699399,0.702865645056425,2.39286564505642,,,2.28333118642097,,0.206358625366682,0.014568566761024,1.73490612244898
151,2.227,2.4163,2.6093,2.28185735964084,0.703159588223931,2.39315958822393,,,2.28227231750673,,0.244091647478157,0.00352311745201222,1.7065306122449
9,2.2196,2.4659,2.7372,2.29239990537611,0.713708612479388,2.40370861247939,,,2.29600740740741,,0.224071854398637,0.0238048476487313,1.65364081632653
120,2.2238,2.4618,2.7131,2.29669635515927,0.718007702482227,2.40800770248223,,,2.29864119391376,,0.266822146169133,0.0126641789491249,1.61708571428571
113,2.2312,2.4672,2.7197,2.30617654759105,0.727493720605401,2.4174937206054,,,2.30880910926539,,0.249237059584267,0.0157111994481626,1.64783265306122
77,2.2282,2.4835,2.7542,2.3113972849773,0.732717666197091,2.42271766619709,,,2.31407100482338,,0.280967100905273,0.0146637861516192,1.58362857142858
18,2.2323,2.4989,2.7931,2.32158855216006,0.742915196035176,2.43291519603518,,,2.32698624167117,,0.240040374727942,0.0262805518041996,1.62266734693878
5,2.2295,2.5107,2.8388,2.32170979151063,0.743036509888776,2.43303650988878,,,2.33142039254903,,0.170774453521747,0.0446578941890202,1.6845
90,2.2466,2.4898,2.7556,2.33168622526673,0.753019074282493,2.44301907428249,,,2.33617634463493,,0.23091268965082,0.0215195822744534,1.67627346938776
190,2.2385,2.5185,2.8377,2.33692896179184,0.758265032531772,2.44826503253177,,,2.34585094422486,,0.204791344667694,0.0373260011132111,1.6545
105,2.2454,2.5069,2.79,2.34025983532062,0.761597952922094,2.45159795292209,,,2.34497951098731,,0.260799451156039,0.0205673883685043,1.61727755102041
114,2.2435,2.511,2.7987,2.34104489457578,0.762383494605534,2.45238349460553,,,2.34553323789072,,0.275565403904992,0.0192343169001751,1.59052040816327
32,2.2474,2.5041,2.7789,2.34121751586352,0.762556221971117,2.45255622197112,,,2.34513966019453,,0.270390420464942,0.0172347096976812,1.61370612244898
176,2.2656,2.4778,2.7176,2.34185995269059,0.763199053583284,2.45319905358328,,,2.34738617038344,,0.164968614957571,0.0262805518042,1.81139591836735
15,2.2434,2.5308,2.8909,2.3429769737812,0.764316761096686,2.45431676109669,,2.29759644982814,,,0.0598030943443856,0.0692244969625102,1.82284897959183
169,2.2414,2.539,2.9066,2.34656006823065,0.767902057400439,2.45790205740044,,2.4670518849952,,,0.0863877235592841,0.0666535734164477,1.77682857142857
1,2.2471,2.518,2.8127,2.34810454763778,0.7694474859086,2.4594474859086,,,2.35369142374313,,0.263579156546695,0.0226622149615928,1.60424285714286
102,2.2567,2.5218,2.8094,2.35991705706824,0.781267254267098,2.4712672542671,,,2.36548361105534,,0.261597877172504,0.0214243628838587,1.62325102040817
7,2.2678,2.5025,2.7487,2.36032092535675,0.781671370737491,2.47167137073749,,,2.3629608597176,,0.270607276913856,0.0109502299184165,1.66059591836735
162,2.2608,2.5223,2.8009,2.36507661109545,0.786429978901845,2.47642997890185,,,2.36936441188764,,0.281647241585968,0.0162825157917325,1.60788163265306
184,2.2586,2.5251,2.8064,2.36525124462338,0.786604719744157,2.47660471974416,,,2.36899742349618,,0.299202756836893,0.0140924698080488,1.57872244897959
76,2.2628,2.5478,2.8731,2.37940148590836,0.800763656521306,2.49076365652131,,,2.39115513282001,,0.20659519603823,0.0383734144097549,1.67057551020408
51,2.2634,2.5512,2.8688,2.38448314118762,0.80584843453838,2.49584843453838,,,2.39332855540282,,0.259104028009969,0.0283753783972874,1.60531836734694
29,2.2802,2.5573,2.8514,2.40667735506899,0.82805628702909,2.51805628702909,,,2.4120005952381,,0.303638456928369,0.0161872964011369,1.58215918367347
47,2.289,2.5594,2.8524,2.41463277897762,0.836016599640659,2.52601659964066,,,2.4218625607682,,0.268448569536006,0.021519582274453,1.64095918367347
70,2.3037,2.5518,2.8291,2.41961944407748,0.841006329105744,2.53100632910574,,,2.42874075998326,,0.207097908715263,0.0278040620537182,1.75574081632653
137,2.309,2.5451,2.7951,2.42173499681724,0.843123181877918,2.53312318187792,,,2.42593137454405,,0.261420449168847,0.0132354952926948,1.71102040816327
3,2.339,2.5407,2.8541,2.42326535273793,0.844654478220584,2.53465447822058,,,2.45822230976186,,-0.239143377598333,0.106360059294531,2.37820408163265
175,2.3114,2.5549,2.8127,2.43067556894241,0.85206924809137,2.54206924809137,,,2.43519921798632,,0.269779279563448,0.0136163728550744,1.69448163265306
135,2.2793,2.5879,2.9123,2.43081287292545,0.852206636449349,2.54220663644935,,,2.43662011401317,,0.352667728606121,0.0150446637139989,1.48464693877552
148,2.3188,2.5454,2.7753,2.43121773981745,0.852611752136882,2.54261175213688,,,2.43221636213461,,0.297418619688986,0.00314223988963293,1.68955510204082
61,2.2981,2.5737,2.8746,2.43274824072226,0.854143193552764,2.54414319355276,,,2.44150145206505,,0.263115872314924,0.0240905058205159,1.65007959183673
141,2.2962,2.5913,2.9544,2.43699013721636,0.858387696742888,2.54838769674289,,2.64292274700771,,,0.0922034192347708,0.0647491856045495,1.82775102040817
200,2.3023,2.5881,2.9274,2.44229264587428,0.863693463855668,2.55369346385567,,,2.46250522620463,,0.146545673910984,0.0509423739682853,1.78052448979592
167,2.32,2.5761,2.8446,2.45404033203882,0.875448369113573,2.56544836911357,,,2.45836676616055,,0.295969624325773,0.0118072044337708,1.65661224489796
59,2.3243,2.5729,2.8357,2.45420048082317,0.87560861631127,2.56560861631127,,,2.45908749662359,,0.277280541273697,0.0135211534644793,1.69225918367347
195,2.3116,2.5925,2.8905,2.46081683075035,0.882229032064444,2.57222903206444,,,2.46727939520669,,0.308419155915843,0.0162825157917324,1.60325306122449
134,2.3086,2.602,2.9136,2.4668737514914,0.888289674855589,2.57828967485559,,,2.4740840226781,,0.320572974166478,0.0173299290882772,1.57060000000001
189,2.3133,2.6047,2.9221,2.47130176472078,0.892720409151951,2.58272040915195,,,2.48177195253506,,0.28167681291991,0.024757041554681,1.62399387755102
45,2.3396,2.6015,2.8842,2.48798407867679,0.909412974588998,2.599412974589,,,2.49609970081502,,0.265057723243859,0.0198056332437441,1.70592653061224
81,2.2987,2.6492,3.0867,2.49207732545863,0.913508736719837,2.60350873671984,,2.47617127489738,,,0.0806311705516803,0.0828408698175853,1.77665918367347
139,2.3281,2.6138,2.9107,2.4935873670293,0.915019706229084,2.60501970622908,,,2.49820972600422,,0.342376904393905,0.0106645717466319,1.57352857142857
197,2.3203,2.635,3.001,2.50121141487014,0.92264843913832,2.61264843913832,,,2.52550386426917,,0.196619799388067,0.0488475473751972,1.7038306122449
170,2.3254,2.6381,3.0299,2.50221510471074,0.923652745758307,2.61365274575831,,2.4383326125824,,,0.0650667917862651,0.075318537960586,1.86782857142857
154,2.3209,2.6326,2.9219,2.50475573788529,0.926194940182261,2.61619494018226,,,2.50475573788529,,0.533920291455067,-0.0213291434932632,1.3069
193,2.3287,2.6275,2.9284,2.50951525330171,0.930957380377713,2.62095738037771,,,2.51043128133901,,0.402613711636122,0.00199960720249362,1.48655714285714
