config,dipole_l,dipole_m,dipole_h,muL_SCEE
134,2.3086,2.602,2.9136,2.4668737514914025
136,2.4561,2.9222,3.2554,2.979795439859685
104,2.3735,2.7138,3.1145,2.6319376220651844
50,2.4707,2.7827,3.126,2.7725428918510886
176,2.2656,2.4778,2.7176,2.341859952690589
56,2.4532,2.8005,3.213,2.8065341055474042
70,2.3037,2.5518,2.8291,2.419619444077477
40,2.6429,3.0208,3.4402,3.321197432774963
75,2.1365,2.3606,2.751,2.153830263371689
190,2.2385,2.5185,2.8377,2.3369289617918394
78,2.3633,2.6259,2.9165,2.52463347004318
51,2.2634,2.5512,2.8688,2.3844831411876157
29,2.2802,2.5573,2.8514,2.4066773550689917
110,2.0886,2.3309,2.6089,2.0968012029936878
37,2.3393,2.6393,2.982,2.5207014186105736
7,2.2678,2.5025,2.7487,2.3603209253567483
165,2.344,2.6445,2.9631,2.5342818010987123
65,2.452,2.7826,3.1306,2.7716633437341347
41,2.7733,3.2256,3.7006,4.091338110295852
116,2.5792,2.9419,3.3294,3.1041775846845936
77,2.2282,2.4835,2.7542,2.3113972849772995
52,2.3766,2.6865,3.026,2.6003157896471087
69,2.1855,2.4254,2.6916,2.2389545607124517
164,2.4189,2.7277,3.0504,2.676031415083413
74,1.9268,2.0391,2.1666,1.9030217399014255
172,2.3679,2.6684,2.9865,2.575501536472211
138,2.5114,2.8904,3.3099,3.0114269308802846
85,2.53,2.8215,3.1264,2.8400468078876537
167,2.32,2.5761,2.8446,2.4540403320388164
145,2.4493,2.801,3.218,2.8077530876784778
197,2.3203,2.635,3.001,2.5012114148701428
133,2.2031,2.4269,2.6685,2.259909990950046
151,2.227,2.4163,2.6093,2.2818573596408394
127,2.6382,3.0364,3.4922,3.4378317351561165
192,2.6047,2.9661,3.3547,3.156583726073036
45,2.3396,2.6015,2.8842,2.4879840786767895
80,2.5622,2.8948,3.198,2.955310970152921
186,2.7021,3.1227,3.5649,3.6411202157449156
6,2.0278,2.1832,2.3503,2.016762416090068
183,2.582,2.9206,3.2851,3.0418282224869424
4,2.0709,2.2255,2.3885,2.071030959716217
42,2.585,2.9053,3.2493,3.0003655457419542
90,2.2466,2.4898,2.7556,2.3316862252667314
12,2.5767,2.9078,3.0311,2.858398413208962
32,2.2474,2.5041,2.7789,2.3412175158635207
182,1.9645,2.1073,2.2765,1.9419401023023155
10,2.4174,2.7106,3.0214,2.650860189407819
15,2.2434,2.5308,2.8909,2.342976973781199
89,2.6945,3.0907,3.5167,3.5120736084295117
135,2.2793,2.5879,2.9123,2.4308128729254532
39,2.6059,2.9843,3.4138,3.244952759755697
53,2.1715,2.4416,2.744,2.2272104890474314
35,2.5087,2.8935,3.3351,3.031145978476899
27,2.5529,2.904,3.2854,3.018256252399738
63,2.4815,2.7987,3.1354,2.801710474694962
25,2.4704,2.7595,2.9854,2.7072302321930595
174,2.7638,3.2108,3.6678,3.932836765028799
83,2.4401,2.7982,3.1952,2.801640685219985
66,2.1934,2.4674,2.7968,2.2595938560718976
95,2.4191,2.7579,3.1322,2.722276704860069
195,2.3116,2.5925,2.8905,2.460816830750347
26,2.1294,2.3632,2.6216,2.155618883760715
43,2.1952,2.4328,2.6933,2.2528734483150243
144,2.06,2.2651,2.483,2.0560743288970196
31,2.3736,2.6654,3.004,2.5696070785830343
5,2.2295,2.5107,2.8388,2.321709791510633
149,2.153,2.4028,2.6696,2.1946111945992715
44,2.3929,2.6678,2.9558,2.587870953148502
19,1.9765,2.0722,2.1709,1.9625077346878013
159,2.3589,2.663,2.9968,2.5619360733739582
141,2.2962,2.5913,2.9544,2.4369901372163554
166,2.3377,2.6431,2.996,2.5227891004284997
79,2.1161,2.347,2.6114,2.1354627775202006
150,2.5424,2.8582,3.1861,2.908936992636537
61,2.2981,2.5737,2.8746,2.4327482407222574
185,2.1897,2.3936,2.6131,2.2345114260984067
157,2.4351,2.7622,3.1192,2.7330470303093475
55,2.3452,2.64,2.9488,2.530934461284517
18,2.2323,2.4989,2.7931,2.3215885521600614
168,2.4779,2.7982,3.1562,2.800982517334964
109,2.5235,2.8956,3.2998,3.0147768221839475
191,1.9867,2.1789,2.4295,1.963232464339662
139,2.3281,2.6138,2.9107,2.493587367029304
114,2.2435,2.511,2.7987,2.3410448945757785
34,2.6495,3.0536,3.475,3.4102601369339056
62,2.1582,2.3776,2.6086,2.195141580971129
3,2.339,2.5407,2.8541,2.4232653527379284
162,2.2608,2.5223,2.8009,2.3650766110954535
100,1.7863,1.867,1.9767,1.7606521175918564
1,2.2471,2.518,2.8127,2.3481045476377767
124,2.106,2.317,2.5453,2.11984833620853
87,2.3945,2.7154,3.0211,2.6458159057389667
36,2.4724,2.8312,3.238,2.87227065902676
72,1.9014,2.1247,2.3895,1.838777247313679
67,2.1907,2.4316,2.687,2.248594838499906
33,1.9186,2.0838,2.2726,1.8788814313108044
175,2.3114,2.5549,2.8127,2.4306755689424104
119,2.1872,2.4374,2.7092,2.245769539265393
148,2.3188,2.5454,2.7753,2.4312177398174493
103,2.5286,2.8604,3.2127,2.9194061611517714
14,2.5271,2.84,3.1706,2.8761044872680235
68,2.3934,2.6855,2.9902,2.6095158214813248
38,2.625,3.0103,3.4193,3.2832494295483436
118,2.4154,2.7086,3.0189,2.6475284949265925
106,2.3661,2.7023,3.0779,2.615174496304698
21,2.5486,2.917,3.3082,3.054392998233506
17,2.7819,3.2224,3.6828,3.9968091000630706
76,2.2628,2.5478,2.8731,2.3794014859083643
170,2.3254,2.6381,3.0299,2.502215104710743
113,2.2312,2.4672,2.7197,2.306176547591047
84,2.1095,2.345,2.6264,2.125919629960184
194,2.4407,2.785,3.1601,2.7751272504109927
73,1.9478,2.1283,2.3408,1.912774635848647
120,2.2238,2.4618,2.7131,2.2966963551592747
59,2.3243,2.5729,2.8357,2.4542004808231743
58,2.7116,3.1092,3.5261,3.5352975548078875
200,2.3023,2.5881,2.9274,2.442292645874276
49,2.4631,2.7598,3.0738,2.7342415331277037
11,2.112,2.313,2.5457,2.126404054647549
123,2.4704,2.8105,3.1608,2.8245811034145105
