config,dipole_l,dipole_m,dipole_h,muL_SCEE,delta_mu,mu_liquid
29,2.393,2.7066,3.0578,2.6333809334701472,1.0548991774850414,2.744899177485041
172,2.0469,2.2406,2.4706,2.0394305463178948,0.4605838007306631,2.1505838007306632
198,2.3048,2.5361,1.5637,2.358231771047336,0.7795809326178202,2.46958093261782
115,2.4744,2.7598,3.0813,2.7346268791084047,1.156207339965336,2.846207339965336
121,2.3336,2.6696,3.3968,2.4709910537740574,0.8924095072696396,2.58240950726964
188,2.3427,2.5974,2.5007,2.441751250438839,0.8631517357262737,2.5531517357262734
92,2.0173,2.2326,9.5156,2.060989965220668,0.4821564681536785,2.1721564681536787
152,2.3472,11.2756,5.5035,,,
112,2.274,2.4855,2.757,2.3479065413140394,0.7692493579076134,2.4592493579076136
17,2.3951,2.7067,2.5464,2.520766791475985,0.9422158327564938,2.632215832756493
163,2.5024,2.8473,3.2289,2.900609911983812,1.322292371395571,3.0122923713955707
134,2.4708,2.7935,3.1349,2.7921977437925647,1.2138135826329937,2.903813582632994
106,2.3152,3.6436,7.6667,2.146282973965246,0.5675018904701632,2.257501890470163
78,2.4407,2.7312,3.0377,2.6867853431427764,1.108336404804834,2.798336404804834
101,2.3942,2.7047,7.1979,2.177184713080309,0.5984226190727469,2.2884226190727466
57,2.3163,2.5886,2.8698,2.462556963729479,0.883970234376062,2.5739702343760618
135,5.1353,1.3496,7.4537,2.370126213065932,0.7914826839130054,2.481482683913005
37,2.2129,2.4268,2.662,2.269567987636986,0.690862664254299,2.380862664254299
108,1.9769,2.1736,7.2939,2.0482932088034267,0.4694519094280747,2.159451909428075
53,2.4233,2.6914,2.9665,2.629559190811209,1.051075086319624,2.741075086319624
1,2.475,2.7519,3.04,2.724423379808976,1.1459975704938017,2.8359975704938014
160,2.2961,2.5604,1.9304,2.369641688613647,0.7909978617146611,2.480997861714661
98,2.6298,3.0108,3.4278,3.2941700711285686,1.7160943779555426,3.406094377955543
80,2.7936,3.2166,3.6586,,,
24,2.689,3.0846,8.8129,2.268028624561004,0.6893223552213337,2.3793223552213334
159,2.1181,2.3419,2.5637,2.139758510016472,0.5609734171604186,2.2509734171604183
77,2.4142,2.6855,6.6342,2.196774119574996,0.6180240634915386,2.3080240634915388
85,2.0448,2.2427,2.472,2.0362478108829576,0.4573991094668128,2.147399109466813
86,2.3217,2.635,3.2565,2.445318632144088,0.86672130963016,2.55672130963016
146,3.8895,2.6421,4.5911,2.6401403575974167,1.0616627553591156,2.7516627553591158
175,2.1814,2.3928,2.6393,2.2230008907855585,0.6442669513660448,2.334266951366045
166,2.4334,2.1917,3.8483,2.223820036870002,0.6450866008255345,2.3350866008255347
102,1.9662,2.149,2.354,1.934356333034752,0.3554450180893218,2.045445018089322
50,1.9882,8.041,7.8499,1.7555926117640657,0.1765714443782426,1.8665714443782424
137,2.1991,6.8353,1.8784,3.484937827546072,1.906979363436314,3.596979363436314
105,2.4594,2.7927,3.1646,2.790483756861627,1.2120985424366293,2.902098542436629
32,2.0045,6.0008,5.4413,1.56477955240702,-0.0143588718812674,1.6756411281187324
164,2.4225,2.707,3.031,2.6447470052598656,1.0662722338615367,2.7562722338615364
95,2.5079,2.8638,3.2581,2.939162564993205,1.360868715470392,3.050868715470392
100,2.0407,2.2173,2.4016,2.031418075265465,0.4525664059191367,2.142566405919137
52,2.2423,2.4856,2.7495,2.325651200618151,0.7469803410392342,2.4369803410392343
70,2.4707,2.7597,3.06,2.7355474971167517,1.157128523704437,2.847128523704437
162,2.4303,2.7123,3.0131,2.6572172921089394,1.078750183850721,2.768750183850721
104,1.916,2.084,2.5251,1.9155161100889964,0.3365932176016948,2.026593217601695
79,2.3632,2.5987,2.8499,2.5013676910671765,0.9228048113689418,2.612804811368941
33,2.2688,2.5411,2.8479,2.381462715865976,0.8028261531293286,2.4928261531293288
168,2.332,2.6141,2.9126,2.495502624981223,0.9169361411298748,2.606936141129875
109,2.365,2.5413,5.3235,2.2027184185015964,0.6239720152607788,2.313972015260779
169,2.4037,2.6979,3.0183,2.627587519816029,1.049102203709084,2.739102203709084
157,2.7216,3.1108,3.5119,3.501936638544051,1.923988620406544,3.613988620406544
173,2.6291,2.9447,3.2747,3.0667480123352013,1.488532565592603,3.1785325655926027
184,2.4437,2.7401,1.5195,2.4527257484088048,0.8741329776562303,2.5641329776562305
150,2.2334,2.4862,2.7588,2.3173158771154254,0.738639895380728,2.428639895380728
81,2.6021,4.8013,5.6682,1.3947559579916138,-0.1844869478247948,1.5055130521752051
11,2.3375,2.6312,2.95,2.514530741288511,0.9359759504417482,2.625975950441748
93,2.7265,6.966,6.2982,1.0639005487446729,-0.5155456716697131,1.1744543283302868
35,2.6422,2.9631,3.3055,3.108640722500533,1.5304510193283505,3.22045101932835
28,2.281,2.4998,2.7403,2.3683315080481795,0.7896868760275984,2.479686876027598
97,2.1615,2.3844,2.6232,2.2002824346345755,0.6215345344525962,2.311534534452596
46,2.4019,3.2224,2.88,2.854323617317763,1.27597763324899,2.9659776332489898
114,4.8616,5.5456,7.3897,,,
21,2.4647,2.8603,4.2077,,,
165,2.1598,2.3667,2.5934,2.193571260168924,0.6148192358901332,2.3048192358901334
73,2.188,2.4441,2.7458,2.245809618729699,0.6670896955457455,2.3570896955457457
94,2.211,2.4741,5.4822,2.129567175863698,0.550775820311167,2.2407758203111667
40,2.5718,2.8886,3.2125,2.9630769242864394,1.3847977704228465,3.074797770422846
48,3.911,5.2008,6.3683,,,
116,2.2569,2.5168,2.8007,2.3567258500008146,0.7780740861648414,2.468074086164841
193,2.5215,2.8103,3.1116,2.82079415428941,1.2424275659654078,2.9324275659654075
170,2.5697,2.9185,3.2981,3.046990696517277,1.4687631086682906,3.158763108668291
149,2.3384,2.5849,2.8553,2.472090340400499,0.8935094694208339,2.583509469420834
185,2.2834,2.5138,2.7579,2.380236137772336,0.8015988212888099,2.49159882128881
133,2.2078,2.4532,2.7133,2.275899235222452,0.697197802466974,2.387197802466974
200,2.0378,2.2275,2.4524,2.0277261045293464,0.4488721664229349,2.138872166422935
96,2.3475,2.6451,7.9795,2.1451685554286475,0.566386787110073,2.256386787110073
65,2.2973,2.5268,2.7645,2.4009807644959764,0.8223561958331744,2.512356195833174
140,2.4763,2.6136,2.9077,2.54951656216478,0.9709832705225264,2.660983270522526
99,2.6093,2.9213,2.8077,2.7769579858446303,1.1985644596719027,2.888564459671903
154,1.7706,2.1875,7.9648,2.00327032626304,0.4244013597889864,2.114401359788986
56,2.5567,5.6338,6.1271,1.4438945965653385,-0.135318112971162,1.554681887028838
136,2.2027,2.449,5.6007,2.122909171820324,0.5441137248448407,2.234113724844841
127,2.3784,2.6377,2.9171,2.5464992080030138,0.9679640621606131,2.6579640621606133
43,2.2252,2.4701,2.7267,2.3023001997657238,0.7236149907180718,2.413614990718072
161,2.0224,2.1732,2.3517,2.0113279971229763,0.4324639821838405,2.1224639821838407
118,2.4963,2.7872,3.0858,2.7818267361313804,1.2034362018638165,2.8934362018638167
187,1.9962,2.1726,2.3824,1.9755914609940948,0.3967054855269665,2.0867054855269664
129,1.94,2.101,6.7896,2.0381305462641626,0.4592830018113816,2.1492830018113818
18,2.1999,2.3892,2.6016,2.242856848901112,0.6641351112048548,2.3541351112048545
34,2.3934,2.6619,2.955,2.579445187588896,1.000930287444185,2.6909302874441847
15,2.1504,1.4172,1.3183,2.103327352639233,0.5245198724021403,2.21451987240214
76,2.4068,2.7768,8.6733,2.1579607634557942,0.5791868561017364,2.2691868561017365
30,1.8892,2.0268,2.181,1.8507737724806432,0.2718110950541355,1.9618110950541356
49,2.0073,2.1723,2.3514,1.989823990656284,0.4109467612485082,2.100946761248508
194,2.6301,2.9518,3.3016,3.091521999018338,1.5133217761862514,3.203321776186251
192,3.4435,5.3945,6.853,,,
120,2.7333,3.1235,3.5334,3.5523362259315245,1.974419178942022,3.6644191789420217
111,2.3155,3.8806,2.3448,2.848038126358586,1.2696882797805966,2.959688279780597
119,2.411,2.7135,3.0283,2.653409423440954,1.0749399752019897,2.7649399752019894
19,2.439,2.7613,3.1016,2.7330032008377385,1.154582663924993,2.844582663924993
64,2.3105,2.663,9.4147,2.122462628858071,0.5436669074766074,2.233666907476607
89,2.1935,2.3778,2.5766,2.233789172266753,0.6550618623749755,2.3450618623749757
143,4.9667,2.9429,7.7113,,,
190,2.1532,2.3658,5.1632,2.104822587935581,0.5260160265384244,2.216016026538425
145,2.1759,2.3993,2.633,2.221690884728708,0.6429561402948367,2.3329561402948364
151,2.3216,2.5897,2.8859,2.463580741535928,0.8849946413061927,2.5749946413061924
2,2.1119,2.3315,2.5761,2.1286197111093563,0.5498277733284251,2.2398277733284253
45,2.6793,3.0537,3.4501,3.361935939958331,1.783901889720535,3.473901889720535
23,2.7518,2.9255,3.2914,3.0172874685926625,1.4390416277555873,3.129041627755587
54,2.5592,2.8953,8.3996,2.21444596049598,0.6357067639696943,2.325706763969694
130,1.8329,1.9584,2.1135,1.792642708475753,0.2136443088165787,1.9036443088165784
58,2.4614,2.7584,4.087,2.5302928991901705,0.9517477943775708,2.6417477943775705
16,2.4323,5.5724,8.1519,1.915866968907872,0.3369442920275025,2.0269442920275025
179,2.2791,2.5379,2.8277,2.3891040168759714,0.8104721498099996,2.5004721498099998
84,2.3018,2.6134,7.6793,2.1354758519575943,0.5566881273570472,2.246688127357048
3,2.5218,2.8396,3.1813,2.8770906484106336,1.2987586549542078,2.988758654954208
183,2.315,2.5561,2.8175,2.433158350273916,0.8545535551216366,2.5445535551216363
103,2.3741,2.641,2.9317,2.5469404153161084,0.9684055406008676,2.6584055406008678
36,4.5177,2.7784,2.4197,2.78826619047434,1.2098796133283292,2.899879613328329
6,2.3927,2.682,2.9779,2.6058208185183083,1.0273221265136148,2.717322126513615
110,2.8044,3.2211,3.6553,,,
74,2.8927,5.288,6.2324,1.2546008640055304,-0.3247281687889836,1.3652718312110164
69,2.5366,2.9039,3.321,3.0384530976713955,1.460220263366016,3.150220263366016
182,2.4607,7.111,5.9333,1.095078272673956,-0.4843487886569468,1.205651211343053
189,2.3505,2.6405,2.9774,2.528294025374751,0.9497476922303336,2.6397476922303333
8,2.3276,2.5946,2.8897,2.4721618051690557,0.8935809781053432,2.583580978105343
9,2.4344,2.7914,5.2575,2.3192167121498137,0.7405418985009329,2.430541898500933
148,2.351,2.6712,6.3334,2.1822786700630603,0.6035197063528639,2.293519706352864
113,2.3798,2.6826,3.0111,2.597512833850572,1.0190090364901387,2.709009036490139
126,2.4938,8.7253,2.9283,,,
180,2.4938,2.8308,3.185,2.86355211890778,1.2852118058633824,2.975211805863382
171,3.0452,4.9655,2.5969,3.3608476452464,1.782812926238514,3.4728129262385137
87,2.3775,2.6329,2.8989,2.542792404012059,0.9642549802943624,2.654254980294362
186,2.1201,3.6485,6.0464,1.5769990479274378,-0.0021318673350041,1.6878681326649958
199,2.4244,2.7334,3.0783,2.6834992864258087,1.1050483287667925,2.795048328766792
178,2.4462,2.7402,3.3188,2.6681796502360235,1.0897192784777177,2.7797192784777174
61,2.4887,2.77,3.0643,2.7535384527173563,1.1751305349619934,2.865130534961993
7,2.2503,2.5162,2.8159,2.348264327745205,0.7696073642028114,2.459607364202811
142,2.2619,2.4691,2.677,2.3384686545840334,0.7598056714835641,2.4498056714835643
153,2.1167,2.3286,2.552,2.135172943465417,0.5563850327239861,2.2463850327239863
60,2.3195,2.5618,5.5003,2.18157685872994,0.602817463748303,2.292817463748303
31,2.6377,6.4321,6.2779,1.2598054954083215,-0.3195203390780743,1.3704796609219256
197,2.203,2.4015,2.6219,2.250213146565617,0.6714959294020784,2.3614959294020785
42,2.5125,2.7956,3.0963,2.7959777665098486,1.2175959282193547,2.9075959282193544
158,2.4876,6.143,7.8155,1.7910216382802808,0.2120222424541227,1.9020222424541229
122,2.3978,2.6964,3.0249,2.622655815441029,1.0441674687428824,2.734167468742882
124,4.2006,5.8424,6.5141,,,
117,2.0724,2.2925,2.5326,2.073216864575875,0.4943908810844764,2.184390881084476
195,2.666,3.0217,3.3899,3.252882417345199,1.6747813524161257,3.3647813524161254
4,2.3999,2.714,2.8001,2.5780928356274053,0.9995771044462722,2.689577104446272
14,2.4741,2.819,3.1807,2.841864446902678,1.2635108065249756,2.9535108065249758
176,2.475,9.0209,2.142,,,
10,2.4991,2.79,6.3364,2.260450553620052,0.6817396274653389,2.371739627465339
38,2.3069,4.0142,6.676,2.0319735125224607,0.4531221844989568,2.1431221844989565
55,2.4915,3.6091,3.4402,,,
12,2.1804,2.4006,2.6614,2.2235568449747074,0.644823247195679,2.334823247195679
25,2.3383,4.2536,7.242,2.033039637334197,0.4541889644571146,2.144188964457115
51,1.5274,1.5138,1.7165,1.6384142955721217,0.0593211207123918,1.7493211207123918
20,2.4982,2.8519,3.2522,2.9148906933770187,1.3365819284993952,3.026581928499395
91,2.6671,3.038,1.3361,2.561524385553492,0.9829984728620328,2.672998472862033
26,2.4483,2.7032,2.9748,2.6513157931231697,1.072845058323386,2.7628450583233857
22,2.4364,2.7516,3.0809,2.716958915910999,1.1385285195936656,2.8285285195936654
75,2.4,2.6144,4.55,2.284249338380916,0.7055530368634939,2.395553036863494
144,2.3909,6.6914,7.5424,1.7198780248967738,0.1408349104710418,1.8308349104710415
128,2.2817,2.5189,2.7912,2.378149051515493,0.7995104524925514,2.489510452492551
5,2.6982,4.883,5.7192,1.2842499105014469,-0.295060902600113,1.394939097399887
67,2.3561,2.647,2.963,2.542956255752665,0.9644189327238196,2.65441893272382
83,2.358,2.6787,9.969,2.1281110237805128,0.5493187734051463,2.239318773405146
196,2.4272,2.7475,3.084,2.708311484974102,1.1298757747072443,2.8198757747072447
138,2.4304,2.7911,1.6808,2.4692648524097094,0.8906822451339498,2.58068224513395
59,2.4792,2.7917,3.1272,2.789000366640507,1.210614240654513,2.900614240654513
156,2.1968,2.4328,2.7118,2.25186291219765,0.6731467088347827,2.3631467088347824
62,2.6097,2.9862,3.3808,3.209890159547032,1.6317626753623984,3.3217626753623986
72,2.3884,2.6987,3.0389,2.621794302146567,1.043305426038218,2.7333054260382177
27,2.0555,2.4242,2.6797,2.077367579709441,0.4985441468820342,2.188544146882034
141,2.293,2.5594,2.8431,2.418994794648934,0.8403812958226713,2.5303812958226715
13,2.3823,2.6926,3.0238,2.6124376214564573,1.033942995556146,2.723942995556146
41,2.4218,6.5326,9.527,1.9326788705167917,0.3537665247506225,2.0437665247506223
44,2.3921,2.6388,2.8989,2.5559070175814558,0.9773776529503296,2.667377652950329
131,2.2536,2.5246,2.8204,2.358298859479035,0.7796480622761612,2.4696480622761614
139,2.2828,2.5651,8.3843,2.121435531507482,0.542639178962437,2.2326391789624367
147,2.5937,4.6157,3.3116,,,
132,2.2816,2.566,2.8816,2.4116398655534987,0.8330218470355206,2.523021847035521
167,2.472,2.8123,3.21,2.830347218164219,1.2519865003119903,2.94198650031199
82,2.1389,4.4934,8.6505,1.5633491292307389,-0.0157901740696637,1.6742098259303362
155,2.4721,2.7894,3.1261,2.7847654891264635,1.206376760757691,2.8963767607576907
123,2.4464,2.7667,3.1047,2.7431967862772155,1.16478251344439,2.8547825134443903
125,2.4448,2.5263,6.8629,2.181368475684475,0.6026089526489693,2.292608952648969
66,2.7902,6.4411,9.8605,1.874864350361085,0.2959164768822231,1.985916476882223
71,2.3241,2.6237,2.4525,2.4348558980881405,0.8562521460992547,2.5462521460992544
191,2.4522,2.7516,3.4458,2.6743077979641483,1.0958511920257654,2.785851192025765
174,5.6232,5.4655,4.1267,,,
39,2.1837,2.4306,3.0705,2.1987999043491477,0.6200510931346124,2.3100510931346125
88,2.4385,2.7686,3.1464,2.743589044863931,1.1651750130786886,2.8551750130786884
