config,dipole_l,dipole_m,dipole_h,muL_SCEE
29,2.393,2.7066,3.0578,2.6333809334701472
172,2.0469,2.2406,2.4706,2.0394305463178948
198,2.3048,2.5361,1.5637,2.358231771047336
115,2.4744,2.7598,3.0813,2.7346268791084047
121,2.3336,2.6696,3.3968,2.4709910537740574
188,2.3427,2.5974,2.5007,2.441751250438839
92,2.0173,2.2326,9.5156,2.0609899652206676
152,2.3472,11.2756,5.5035,-0.24475593099865325
112,2.274,2.4855,2.757,2.3479065413140394
17,2.3951,2.7067,2.5464,2.520766791475985
163,2.5024,2.8473,3.2289,2.900609911983812
134,2.4708,2.7935,3.1349,2.7921977437925647
106,2.3152,3.6436,7.6667,2.146282973965246
78,2.4407,2.7312,3.0377,2.6867853431427764
101,2.3942,2.7047,7.1979,2.177184713080309
57,2.3163,2.5886,2.8698,2.462556963729479
135,5.1353,1.3496,7.4537,2.370126213065932
37,2.2129,2.4268,2.662,2.269567987636986
108,1.9769,2.1736,7.2939,2.0482932088034267
53,2.4233,2.6914,2.9665,2.629559190811209
1,2.475,2.7519,3.04,2.724423379808976
160,2.2961,2.5604,1.9304,2.369641688613647
98,2.6298,3.0108,3.4278,3.2941700711285686
80,2.7936,3.2166,3.6586,3.894995516822346
24,2.689,3.0846,8.8129,2.268028624561004
159,2.1181,2.3419,2.5637,2.1397585100164718
77,2.4142,2.6855,6.6342,2.196774119574996
85,2.0448,2.2427,2.472,2.0362478108829576
86,2.3217,2.635,3.2565,2.445318632144088
146,3.8895,2.6421,4.5911,2.6401403575974167
175,2.1814,2.3928,2.6393,2.2230008907855585
166,2.4334,2.1917,3.8483,2.223820036870002
102,1.9662,2.149,2.354,1.9343563330347517
50,1.9882,8.041,7.8499,1.7555926117640657
137,2.1991,6.8353,1.8784,3.484937827546072
105,2.4594,2.7927,3.1646,2.790483756861627
32,2.0045,6.0008,5.4413,1.56477955240702
164,2.4225,2.707,3.031,2.6447470052598656
95,2.5079,2.8638,3.2581,2.939162564993205
100,2.0407,2.2173,2.4016,2.031418075265465
52,2.2423,2.4856,2.7495,2.325651200618151
70,2.4707,2.7597,3.06,2.7355474971167513
162,2.4303,2.7123,3.0131,2.6572172921089394
104,1.916,2.084,2.5251,1.9155161100889964
79,2.3632,2.5987,2.8499,2.5013676910671765
33,2.2688,2.5411,2.8479,2.3814627158659754
168,2.332,2.6141,2.9126,2.495502624981223
109,2.365,2.5413,5.3235,2.2027184185015964
169,2.4037,2.6979,3.0183,2.627587519816029
157,2.7216,3.1108,3.5119,3.501936638544051
173,2.6291,2.9447,3.2747,3.0667480123352013
184,2.4437,2.7401,1.5195,2.4527257484088048
150,2.2334,2.4862,2.7588,2.3173158771154254
81,2.6021,4.8013,5.6682,1.3947559579916138
11,2.3375,2.6312,2.95,2.514530741288511
93,2.7265,6.966,6.2982,1.0639005487446727
35,2.6422,2.9631,3.3055,3.108640722500533
28,2.281,2.4998,2.7403,2.3683315080481795
97,2.1615,2.3844,2.6232,2.2002824346345755
46,2.4019,3.2224,2.88,2.854323617317763
114,4.8616,5.5456,7.3897,-1.4195353441723357
21,2.4647,2.8603,4.2077,0.907568096599938
165,2.1598,2.3667,2.5934,2.193571260168924
73,2.188,2.4441,2.7458,2.245809618729699
94,2.211,2.4741,5.4822,2.129567175863698
40,2.5718,2.8886,3.2125,2.9630769242864394
48,3.911,5.2008,6.3683,-0.6052273936363671
116,2.2569,2.5168,2.8007,2.3567258500008146
193,2.5215,2.8103,3.1116,2.82079415428941
170,2.5697,2.9185,3.2981,3.046990696517277
149,2.3384,2.5849,2.8553,2.472090340400499
185,2.2834,2.5138,2.7579,2.3802361377723353
133,2.2078,2.4532,2.7133,2.2758992352224516
200,2.0378,2.2275,2.4524,2.0277261045293464
