config,dipole_l,dipole_m,dipole_h,muL_SCEE
29,2.3646,2.6903,3.061,2.5966634231400256
172,1.9924,2.1895,2.4323,1.968302892932774
198,2.2701,2.5111,2.7344,2.3685751832524513
115,2.4385,2.7567,3.0636,2.7209974973104574
121,2.3078,2.6603,6.2621,2.1670390594218456
188,2.3212,2.6023,2.9706,2.4624601365490006
152,1.2179,2.5485,3.7262,3.202181000044064
112,2.2433,2.4719,2.7563,2.3138875866607265
17,2.3561,2.6691,7.706,2.1530759628880856
163,2.468,2.8206,3.2138,2.8479203507701643
134,2.4465,2.7828,3.138,2.7716494152971864
106,2.2912,5.4318,6.9537,1.8491289344229977
78,2.4016,2.6979,3.0076,2.6286997521041338
101,2.3703,2.6941,5.5201,2.227870478525578
57,2.2855,2.5669,2.8562,2.4204480618186888
37,2.1641,2.3803,2.6143,2.2020574391935868
108,1.9432,2.156,5.5786,2.028676130893764
53,2.3862,2.6632,2.9451,2.580791382902131
1,2.4374,2.7252,3.0228,2.678087718737995
160,2.2697,2.5511,2.8692,2.3888397273074684
98,2.6044,2.9976,3.4249,3.2794861886950324
80,2.7462,4.1925,4.5129,-1.8719502488815944
159,2.0658,2.2818,2.5176,2.063972762693206
77,2.3804,2.6628,5.5212,2.2246834102830224
85,1.9965,2.1976,2.4342,1.971907003746377
86,2.2846,2.5931,2.929,2.4374313251484736
146,2.6871,4.4063,5.7287,1.4489063973740626
175,2.1482,2.3676,2.6181,2.1791400506110703
102,1.9412,2.1391,2.3607,1.8974771880815509
50,1.9609,10.6752,9.9467,1.7457347799746654
105,2.4307,2.769,3.1436,2.7439677442819774
32,1.9873,2.721,2.3837,2.2017172555276936
164,2.3989,2.6996,3.0416,2.6255805297077677
95,2.4751,2.8355,3.2377,2.881054803379857
100,1.9937,2.1725,2.3591,1.9693977372327556
52,2.2144,2.4677,2.7401,2.288695611332593
70,2.4324,2.7286,3.0318,2.681886989242414
162,2.3935,2.6846,2.9914,2.6079320432263873
104,1.8454,1.994,2.4155,1.8539455259423354
79,2.326,2.5711,2.831,2.4538548974460714
33,2.231,2.5105,2.8303,2.3243723264599843
168,2.2949,2.5823,2.8851,2.4392756853724586
109,2.3179,2.5035,3.976,2.2449486424222993
169,2.374,2.6782,3.006,2.589530989372576
157,2.6885,3.0832,3.4772,3.426736932190901
173,2.599,2.9245,3.2591,3.0336915393714086
184,2.4108,2.7168,6.7406,2.1966598726553825
150,2.1963,2.451,2.7204,2.2623290368797564
81,3.9842,6.2495,5.9071,-5.115768883633855
11,2.3038,2.607,2.9363,2.466154959505394
93,2.7223,11.4102,9.3894,1.3935969632273002
35,2.6106,2.9402,3.2849,3.068512732599176
28,2.2307,2.4528,2.6948,2.2984510876932216
97,2.1124,2.3373,2.577,2.1304854752166658
114,2.6552,7.6612,8.2636,1.6108763879538623
21,2.4329,2.8448,7.7056,2.191749056971344
165,2.117,2.3309,2.5625,2.1354897174719727
73,2.1488,2.4093,2.7193,2.1875646778845885
94,2.1728,2.4462,6.4795,2.1034458752302956
40,2.5313,2.8506,3.5221,3.0283958042499033
48,3.851,4.5874,7.0428,0.8277346371921122
116,2.2208,2.4893,2.7831,2.30493161670576
193,2.4856,2.7819,3.0872,2.7725819085080476
170,2.5308,2.8816,3.2525,2.968608974342896
149,2.2853,2.5315,2.7953,2.3925939657535404
185,2.2482,2.4912,2.7475,2.335583264932576
133,2.1666,2.4178,2.6822,2.2160201663250434
200,1.9898,2.1813,2.4038,1.964382271924278
96,2.3155,2.6217,8.0589,2.1348501443170855
65,2.257,2.4936,2.736,2.3464475504727926
140,2.4273,2.5761,2.8665,2.497973478587257
99,2.5751,2.6611,4.6958,2.3739468830795367
154,1.7435,1.9224,7.1282,1.9987816974860333
56,2.1394,6.1543,3.0349,5.362802585864425
136,2.1571,2.4093,3.0555,2.1681275416614523
127,2.339,2.6073,2.8927,2.4936220472703834
43,2.174,2.4228,2.6795,2.227149069629858
161,1.992,2.1554,2.3503,1.9723001918162044
118,2.4675,2.7718,3.0837,2.7546307460055317
187,1.9671,2.1563,2.38,1.9357428359747635
18,2.157,2.354,2.5647,2.1880536053301154
34,2.3497,2.623,2.9195,2.5144052036110307
15,2.1171,5.7295,4.7232,1.047498454959862
76,2.387,2.7792,11.0432,2.1284354451914638
30,1.8567,2.007,2.1771,1.8069680583617391
49,1.9605,2.1298,2.312,1.928959482499728
194,2.6015,2.9301,3.2766,3.049948216606986
120,2.7111,3.115,3.5359,3.559553697348034
111,2.2815,3.1775,3.8402,-1.2406568939255194
119,2.37,2.6767,2.9936,2.588053355739052
19,2.4042,2.7354,3.0849,2.6829918054743724
64,2.2634,2.6064,8.4121,2.1180789488308296
89,2.1495,2.3427,2.5482,2.1772022704385123
190,2.1137,2.3354,2.6188,2.1294595693858733
145,2.1295,2.3554,2.5901,2.155605522247677
151,2.286,2.5599,2.8592,2.4119255587968986
2,2.0764,2.3079,2.5633,2.07901047069278
45,2.6405,3.0184,3.4102,3.27796281402553
