Molecule,Temperatures,Pressures,Replicas,Number of Configurations,vacuum dipole moment model,mu_Vacuum,PCM1,PCM2,liquid dipole moment model,Model Epsilon,Experimental Refractive Index,cal_diconst,muL_SCEE,delta_mu,mu_liquid,Dielectric Constant Correction,STDEV,SE
1-Butanol,298,1,1,180,2.3413,1.6537,2.1442,2.1405,2.378,12.6255,1.399,16.375,2.91923242410331,1.27057851612348,2.93057851612348,18.7488736540961,4.27175799440304,4.27175799440304
2-Butanol,298,1,1,185,2.3498,1.8297,2.1927,2.1868,2.3681,9.83832,1.6,14.384,2.44786244571688,0.624766793819007,2.32476679381901,13.1999925834147,3.51820200735125,3.51820200735125
1-Propanol,298,1,1,187,2.3433,1.8541,2.0956,2.0939,2.3784,13.8202,1.384,19.609,2.01590442512029,0.163441101906527,1.84344110190653,13.4022394756454,5.08582823371035,5.08582823371035
2-Propanol,298,1,1,191,1.7258,1.7838,1.8089,1.8066,2.5239,12.9154,1.377,18.368,2.2257736517719,0.444807305817664,2.02480730581766,13.0598056842486,0.933591713243737,0.933591713243737
Ethanol,298,1,1,200,2.3301,1.7765,1.7866,1.7855,2.3746,16.8341,1.361,24,2.23451997611425,0.459396605615073,2.14939660561507,17.9950625161289,0.443368054672786,0.443368054672786
Methylamine,298,1,1,200,1.7086,1.4655,1.8603,1.8347,1.8135,1.38269,1.37,4.114,1.40756346214136,-0.0382964742892187,1.27170352571078,3.54774382336687,0.212324452077148,0.212324452077148
Ethylamine,298,1,1,200,1.7017,1.3986,1.594,1.5759,1.8336,7.27198,1.3663,5.433,1.76166262842465,0.383296205158256,1.60329620515826,9.09977860401887,0.529959848592907,0.529959848592907
Propylamine,298,1,1,197,1.7276,1.3753,1.2025,1.1777,1.8309,5.16848,1.388,4.065,1.65514110145314,0.314695053491891,1.48469505349189,6.92862589609681,0.450491494620542,0.450491494620542
Butylamine,298,1,1,189,1.7011,1.2679,1.4009,1.3634,1.8145,4.29798,1.401,3.657,1.68180509868061,0.460162756888414,1.46016275688841,6.2261865512481,0.528584719803216,0.528584719803216
Acetone,298,1,1,200,3.1301,3.1955,3.6965,3.6933,3.1337,16.0283,1.3589,19.646,3.7665032434377,0.574266669203006,3.45426666920301,20.6168453918903,0.369222678213601,0.369222678213601
Butanone,298,1,1,200,3.0878,3.0354,3.6785,3.6736,3.095,14.4941,1.379,17.344,3.75885493665134,0.728468653220811,3.50846865322081,19.4656358820254,0.531702256186221,0.531702256186221
Phenol,330.15,1,5,1048,1.9785,1.3947,1.5362,1.5246,2.0014,7.78868,1.542,8.402,2.35800771139492,0.981248738190258,2.36124873819026,12.7466355700799,1.58121989829612,0.316243979659224
Acetophenone,298,1,5,1000,2.856,3.2858,4.0878,4.0779,2.8567,6.55338,1.534,16.087,4.12302868247957,0.847238242291378,3.90723824229138,12.6842566386946,0.880992699453418,0.176198539890684
Methanol,298,1,1,200,2.2731,1.9087,1.9121,1.9116,2.3182,24.8125,1.329,31.847,2.26019759859232,0.352088778127417,2.05208877812742,24.6156679629083,0.285912980642865,0.285912980642865
