Solvent,Temperatures,Pressures,Replicas,Number of Configurations,Number of Configurations Filtered,Scaling value 1,Scaling value 2,Scaling value 3,Scaled Charge 1,Scaled Charge  2,Scaled Charge  3,Experimental Gas Dipole Moment,Vacuum Dipole Moment Model,Liquid Dipole Moment Model,Experimental Refractive Index,Experimental Epsilon,Model Epsilon,cal_diconst,mu_Vacuum,PCM1,PCM2,muL_SCEE,delta_mu,mu_liquid,STDEV,SE,Dielectric Constant Correction,muL_SCEE_filtered,delta_mu_filtered,mu_liquid_filtered,STDEV_filtered,SE_filtered,Dielectric Constant Correction Filtered,Density Used (Exp sorta) ,Simulation Density,Notes
1-Butanol,298,1,1,180,164,1,1.35,1.7,2.378,3.2103,4.0426,1.66,2.3413,2.378,1.399,17.332,12.6255,16.375,1.6537,2.1442,2.1405,2.91923242410331,1.27057851612348,2.93057851612348,,,18.7488736540961,2.35825056208191,0.70862695875545,2.36862695875545,,,,810,803.123,
2-Butanol,298,1,1,185,168,1,1.35,1.7,2.3681,3.196935,4.02577,1.7,2.3498,2.3681,1.6,15.944,9.83832,14.384,1.8297,2.1927,2.1868,2.44786244571688,0.624766793819007,2.32476679381901,,,,2.21677039876323,0.39305125908548,2.09305125908548,,,,808,814.54,
Methanol,298,1,1,200,200,1,1.35,1.7,2.3182,3.12957,3.94094,1.7,2.2731,2.3182,1.329,32.613,24.8125,31.847,1.9087,1.9121,1.9116,2.26019759859232,0.352088778127417,2.05208877812742,,,,2.26019759859232,0.352088778127417,2.05208877812742,,,,786.6,776.566,
Ethanol,298,1,1,200,195,1,1.35,1.7,2.3746,3.20571,4.03682,1.69,2.3301,2.3746,1.361,24.852,16.8341,24,1.7765,1.7866,1.7855,2.23451997611425,0.459396605615073,2.14939660561507,,,,2.25384972664211,0.478738264698285,2.16873826469829,,,,784.9,794.015,
Ethanol – Using UA,298,1,1,183,171,1,1.35,1.7,2.0704,2.79504,3.51968,1.69,2.0475,2.0704,1.361,24.852,12.5248,24,1.7765,2.1168,2.1155,2.2745285819733,0.499426306935042,2.18942630693504,,,16.1546552909752,2.36665938014586,0.59161372058273,2.28161372058273,,,16.7568656523074,784.9,780.568,"Gaussian is occasionally crashing with this one but not sure that would cause this much deviation from Cecilias results, going to test the basis set on this one to see if its just that as thats the only diff now with Cecilias that I can think off if it isn’t density deviation."
Methylamine,298,1,1,200,192,1,1.35,1.7,1.8135,2.448225,3.08295,1.31,1.7086,1.8135,1.37,4.9912,1.38269,4.114,1.4655,1.8603,1.8347,1.40756346214136,-0.0382964742892187,1.27170352571078,,,,1.3791197449464,-0.0671370733505304,1.24286292664947,,,,656.2,58.2405,"This is a gas at room temp, b.p is -6.6"
Ethylamine,298,1,1,200,194,1,1.35,1.7,1.8336,2.47536,3.11712,1.22,1.7017,1.8336,1.3663,6.3,7.27198,5.433,1.3986,1.594,1.5759,1.76166262842465,0.383296205158256,1.60329620515826,,,,1.696958356614,0.317848772411143,1.53784877241114,,,,689,690.843,"This is also a gas at room temp, b.p 16.6 so may be metastable in simulation"
Propylamine,298,1,1,197,193,1,1.35,1.7,1.8309,2.471715,3.11253,1.17,1.7276,1.8309,1.388,4.9912,5.16848,4.065,1.3753,1.2025,1.1777,1.65514110145314,0.314695053491891,1.48469505349189,,,,1.61421048049557,0.272902515747578,1.44290251574758,,,,719,709.777,
Butylamine,298,1,1,189,354,1,1.35,1.7,1.8145,2.449575,3.08465,1,1.7011,1.8145,1.401,4.62,4.29798,3.657,1.2679,1.4009,1.3634,1.68180509868061,0.460162756888414,1.46016275688841,,,,1.61181348548045,0.388246040640724,1.41576935071566,,,,740,746.686,
Acetone,298,1,1,200,199,1,1.35,1.7,3.1337,4.230495,5.32729,2.88,3.1301,3.1337,1.3589,20.493,16.0283,19.646,3.1955,3.6965,3.6933,3.7665032434377,0.574266669203006,3.45426666920301,,,20.6168453918903,3.7601995784313,0.567957542488104,3.4479575424881,,,20.5825620519281,784.5,796.512,
Butanone,298,1,1,200,196,1,1.35,1.7,3.095,4.17825,5.2615,2.78,3.0878,3.095,1.379,18.246,14.4941,17.344,3.0354,3.6785,3.6736,3.75885493665134,0.728468653220811,3.50846865322081,,,19.4656358820254,3.72062326743544,0.690185989019292,3.47018598901929,,,19.2739863093583,805,815.062,
Aniline,298,1,5,999,929,1,1.35,1.7,1.5726,2.12301,2.67342,1.49,1.3838,1.5726,1.586,6.89,3.44092,5.375,1.6348,1.9422,1.9099,2.84226829079326,1.25553639163237,2.74553639163237,0.288984322484663,0.129237717901485,10.2686119941041,2.32115019801369,0.725605212096023,2.21398509820332,0.0316097753395574,0.0141363212825494,8.76754575347393,1022,1036.85,
Acetophenone,298,1,5,1000,979,1,1.35,1.7,2.8567,3.856545,4.85639,3.06,2.856,2.8567,1.534,17.44,6.55338,16.087,3.2858,4.0878,4.0779,4.12302868247957,0.847238242291378,3.90723824229138,0.104288714732118,0.0466393310854201,12.6842566386946,4.05142813261278,0.775463866326913,3.83680254484726,0.0525933039382556,0.0235204405534494,12.4980181157974,1030,1029.41,
Phenol,330.15,1,5,1048,991,1,1.35,1.7,2.0014,2.70189,3.40238,1.38,1.9785,2.0014,1.542,9.78,7.78868,8.402,1.3947,1.5362,1.5246,2.35800771139492,0.981248738190258,2.36124873819026,0.165392321836257,0.0739656949164786,12.7466355700799,2.0620501162204,0.68303933394843,2.07434093665475,0.0314172814240566,0.0140502353864864,11.486747063435,1050,1045.53,Note I used the exp density the phenol paper I had found
