T,P,dipole,error bar,dipole line,Stdev,Stdev line
298,1,2.721202742,0.02109,2.755274531,0.27437,0.281
298,2,2.769787913,0.01848,2.755274531,0.2654,0.281
298,5,2.738671894,0.0222,2.755274531,0.29422,0.281
298,10,2.772763899,0.00545,2.755274531,0.29913,0.281
298,20,2.761869911,0.00829,2.755274531,0.28287,0.281
298,50,2.755032164,0.00489,2.755274531,0.27593,0.281
298,100,2.757748745,0.00958,2.755274531,0.26711,0.281
298,200,2.757083452,0.0061,2.755274531,0.29579,0.281
298,500,2.742438068,0.00891,2.755274531,0.27372,0.281
298,1000,2.776146525,0.01404,2.755274531,0.31483,0.285
298,2000,2.773712544,0.00794,2.765,0.29757,0.295
298,5000,2.77265176,0.01314,2.775,0.30099,0.31
400,1,2.635274887,0.01718,2.61949677,0.28885,0.286
400,2,2.608970666,0.0157,2.61949677,0.27555,0.286
400,5,2.606202114,0.00774,2.61949677,0.29968,0.286
400,10,2.63976662,0.00675,2.61949677,0.29776,0.286
400,20,2.59580896,0.0187,2.61949677,0.28141,0.286
400,50,2.636213412,0.01149,2.61949677,0.27853,0.286
400,100,2.617042639,0.01208,2.61949677,0.29607,0.286
400,200,2.604457142,0.01467,2.61949677,0.27821,0.286
400,500,2.627970543,0.01267,2.61949677,0.28547,0.286
400,1000,2.623260715,0.00868,2.63,0.28325,0.29
400,2000,2.662888725,0.01337,2.645,0.32752,0.3
400,5000,2.664612565,0.02242,2.67,0.31387,0.325
500,1,1.855925525,0,1.856,0.00135,0.002
500,2,1.855743537,0,1.856,0.01001,0.015
500,5,1.863780211,0,1.856,0.03921,0.04
500,10,2.498866495,0.00647,2.491007637,0.26158,0.26
500,20,2.475590557,0.01835,2.491007637,0.27004,0.26
500,50,2.482672483,0.01088,2.491007637,0.25821,0.26
500,100,2.487736045,0.01069,2.491007637,0.25958,0.26
500,200,2.484890847,0.01974,2.491007637,0.24839,0.26
500,500,2.511700568,0.01277,2.491007637,0.26516,0.26
500,1000,2.495596463,0.00569,2.5,0.25193,0.265
500,2000,2.536148132,0.00558,2.53,0.28479,0.28
500,5000,2.574184925,0.01342,2.58,0.3057,0.31
600,1,1.856611659,0,1.856,0.0106,0.002
600,2,1.855303666,0,1.856,0.00242,0.008
600,5,1.858143263,0,1.856,0.01932,0.015
600,10,1.856510006,0,1.856,0.02589,0.025
600,20,1.869919419,0,1.87,0.05035,0.05
600,50,2.029484994,0.19424,2.03,0.11574,0.116
600,100,2.354712548,0.01963,2.35,0.25437,0.25
600,200,2.363957372,0.01867,2.36,0.25134,0.255
600,500,2.391758227,0.01472,2.39,0.25322,0.262
600,1000,2.422085032,0.00705,2.42,0.27845,0.27
600,2000,2.456795384,0.0166,2.455,0.28293,0.28
600,5000,2.505587914,0.00847,2.505,0.29656,0.295
700,1,1.855660915,0,1.856,0.00183,0.002
700,2,1.856289051,0,1.856,0.00904,0.008
700,5,1.855619488,0,1.856,0.01511,0.015
700,10,1.8549856,0,1.856,0.0221,0.02
700,20,1.855611269,0,1.856,0.02675,0.03
700,50,1.871829796,0.00461,1.87,0.06052,0.06
700,100,1.909186315,0.00643,1.91,0.09903,0.1
700,200,1.98044888,0.01744,1.98,0.14546,0.145
700,500,2.251835068,0.01247,2.23,0.22127,0.217
700,1000,2.316900803,0.01003,2.31,0.24774,0.243
700,2000,2.348712669,0.0294,2.36,0.25474,0.26
700,5000,2.42554269,0.0121,2.43,0.28206,0.28
800,1,1.855570833,0,1.856,0.00252,0.002
800,2,1.855664289,0,1.856,0.00299,0.005
800,5,1.855982814,0,1.856,0.01205,0.012
800,10,1.856066594,0,1.856,0.02242,0.02
800,20,1.856781005,0,1.856,0.03648,0.03
800,50,1.866874988,0.0015,1.87,0.05176,0.05
800,100,1.877170981,0.00521,1.88,0.06476,0.07
800,200,1.919215178,0.00706,1.92,0.1021,0.1
800,500,2.079368047,0.00793,2.08,0.18616,0.175
800,1000,2.21749159,0.0073,2.21,0.22093,0.225
800,2000,2.288039181,0.01072,2.29,0.25488,0.255
800,5000,2.369515912,0.01408,2.38,0.27042,0.27
900,1,1.855783956,0,1.856,0.00261,0.002
900,2,1.855141482,0,1.856,0.00583,0.006
900,5,1.855972819,0,1.856,0.01518,0.01
900,10,1.855411962,0,1.856,0.01346,0.015
900,20,1.853098178,0,1.856,0.02037,0.02
900,50,1.855372283,0.0019,1.856,0.03552,0.035
900,100,1.870944961,0.00368,1.87,0.05758,0.055
900,200,1.893894335,0.00541,1.895,0.08411,0.085
900,500,1.988387474,0.00518,1.99,0.15949,0.15
900,1000,2.110676053,0.00522,2.11,0.20265,0.195
900,2000,2.211821466,0.00647,2.21,0.22006,0.23
900,5000,2.315543107,0.01828,2.32,0.26702,0.27
1000,1,1.856,0,1.856,0,0
1000,2,1.855942079,0,1.856,0.00255,0.003
1000,5,1.854997437,0,1.856,0.0129,0.01
1000,10,1.855396711,0,1.856,0.01109,0.015
1000,20,1.853440039,0,1.856,0.01836,0.02
1000,50,1.859121841,0,1.856,0.03857,0.035
1000,100,1.864013769,0.00409,1.865,0.05012,0.05
1000,200,1.876229974,0.00297,1.88,0.06427,0.07
1000,500,1.940889906,0.00888,1.94,0.11456,0.11
1000,1000,2.024397391,0.01267,2.02,0.15758,0.158
1000,2000,2.141405168,0.00773,2.14,0.21282,0.21
1000,5000,2.267842073,0.01185,2.27,0.25652,0.26
