T / K,p / bar,rhol,rhog
620.0,117.0,0.561(7),10.3(3)e-2
610.0,100.4,0.598(7),7.44(15)e-2
600.0,86.26,0.629(6),5.93(13)e-2
590.0,73.85,0.650(4),4.63(8)e-2
570.0,53.45,0.703(4),3.16(5)e-2
550.0,38.01,0.741(3),2.13(3)e-2
530.0,26.45,0.775(2),1.415(11)e-2
510.0,17.89,0.807(2),9.35(7)e-3
490.0,11.71,0.835(2),6.09(5)e-3
470.0,7.39,0.861(2),3.85(2)e-3
450.0,4.46,0.883(2),2.342(10)e-3
430.0,2.55,0.905(2),1.379(7)e-3
410.0,1.37,0.923(2),7.59(3)e-4
390.0,0.689,0.943(2),3.966(11)e-4
370.0,0.316,0.9585(10),1.891(4)e-4
350.0,0.131,0.9713(12),8.23(2)e-5
330.0,0.0478,0.9841(13),3.166(9)e-5
310.0,0.015,0.9932(14),1.055(3)e-5
300.0,0.00778,0.9965(14),5.642(5)e-6
290.0,0.00387,0.9990(14),2.900(6)e-6
270.0,0.000794,0.9999(18),6.358(10)e-7
252.1,0.000151,0.9924(25),1.300(11)e-7
