config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
0,0.0,0.0,0.0,1.856,0,0,0
0,0.0,0.0,0.0,1.856,0,0,0
1,1.9709,2.0186,2.0662,1.96485742285272,0,0,0
2,1.9187,1.9477,1.9768,1.91321499285115,0,0,0
3,1.8358,1.8314,1.827,1.83703868957382,0,0,0
4,1.8474,1.8476,1.8478,1.84734618547536,0,0,0
5,1.838,1.8346,1.8311,1.83897982444431,0,0,0
6,1.8432,1.8419,1.8405,1.84358604491294,0,0,0
7,1.8308,1.8243,1.8179,1.83268252790504,1,0,1
8,1.9408,1.9788,2.0169,1.93458833313345,0,0,0
9,1.8688,1.8779,1.8871,1.86657810299833,0,0,0
10,1.8482,1.8496,1.8514,1.84789231340087,0,0,0
11,1.8194,1.8086,1.798,1.82266668710314,0,0,0
12,1.8442,1.8433,1.8425,1.84446264146657,0,0,0
13,1.8501,1.8514,1.8529,1.84978773326682,0,0,0
14,2.0328,2.1049,2.1759,2.02946768156575,0,0,0
15,1.8584,1.864,1.8715,1.85726731585048,0,0,0
16,1.8281,1.8206,1.8132,1.83029119555941,0,0,0
17,1.8496,1.8507,1.8518,1.84930662436726,0,0,0
18,1.847,1.847,1.8469,1.84703013938131,0,0,0
19,1.8419,1.84,1.8382,1.84244002629165,0,0,0
20,1.8453,1.8449,1.8444,1.8454387858997,0,0,0
21,1.8235,1.814,1.8046,1.82631651336499,0,0,0
22,1.8491,1.8501,1.8512,1.84884967721347,0,0,0
23,1.8728,1.8832,1.8938,1.87032014165747,0,0,0
24,1.8691,1.8784,1.8877,1.86681629423447,0,0,0
25,1.8576,1.8619,1.8661,1.85652019330058,0,0,0
26,1.8431,1.8415,1.8399,1.84353787470078,0,0,0
27,1.8507,1.8523,1.8538,1.85030514279688,0,0,0
28,1.8449,1.8442,1.8435,1.84509025787862,0,0,0
29,1.8471,1.8477,1.8483,1.84693826085065,0,0,0
30,1.8489,1.8498,1.8506,1.8486893336694,0,0,0
31,1.8627,1.8691,1.8756,1.86110004731763,0,0,0
32,1.8461,1.8459,1.8456,1.84618428561138,0,0,0
33,1.836,1.8316,1.8273,1.83725555547185,0,0,0
34,1.9312,1.9654,1.9999,1.92524591626711,0,0,0
35,1.8498,1.8509,1.852,1.84950689040125,0,0,0
36,1.8533,1.8558,1.8583,1.85264331098088,0,0,0
37,1.8758,1.8875,1.8994,1.87304442042529,0,0,0
38,1.8532,1.8555,1.8579,1.85261234665323,0,0,0
39,1.8442,1.8433,1.8424,1.84444531824137,0,0,0
40,2.0437,2.1262,2.211,2.0408194796661,0,0,0
41,1.86,1.8653,1.8707,1.85866237619552,0,0,0
42,1.8418,1.8398,1.8378,1.84235021191188,0,0,0
43,2.0823,2.1686,2.2541,2.08385446353581,0,0,0
44,1.8902,1.9075,1.9249,1.88637397828171,0,0,0
45,1.9573,2.0078,2.062,1.95029689985978,0,0,0
46,1.8141,1.801,1.788,1.81810726475412,0,0,0
47,1.8502,1.8514,1.8527,1.84989764748586,0,0,0
48,1.8494,1.8503,1.8513,1.84917672807565,0,0,0
49,2.0657,2.1468,2.2269,2.06540424895625,0,0,0
50,1.8473,1.8475,1.8477,1.84724616131674,0,0,0
51,1.8344,1.8297,1.825,1.83573057043909,0,0,0
52,1.8272,1.8193,1.8113,1.82952687244123,0,0,0
53,1.8651,1.8727,1.8805,1.86323208296174,0,0,0
54,1.8788,1.8917,1.9047,1.87578651323365,0,0,0
55,1.9079,1.9419,1.9789,1.9013365121671,0,0,0
56,1.8538,1.8566,1.8595,1.85308253675583,0,0,0
57,1.8733,1.8839,1.8948,1.87079277768135,0,0,0
58,1.8397,1.8369,1.834,1.84050706234034,0,0,0
59,1.8515,1.8531,1.8547,1.85107669197132,0,0,0
60,2.0558,2.1361,2.2166,2.05426062443142,0,0,0
61,1.8406,1.8381,1.8356,1.84129096286611,0,0,0
62,1.8457,1.8453,1.8449,1.84580837189877,0,0,0
63,1.8704,1.8797,1.8891,1.86814640611623,0,0,0
65,1.8453,1.8447,1.8441,1.84546280823786,1,0,1
66,2.1007,2.1932,2.2859,2.10453668145834,0,0,0
67,1.8363,1.8322,1.8281,1.8374521861128,0,0,0
