config,dipole_l,dipole_m,dipole_h,muL
178,2.5935,2.9072,3.2296,2.912804105298252
188,2.4877,2.7683,3.061,2.7000455488936814
26,2.4224,2.6598,2.9069,2.5623357145688934
30,2.3725,2.6075,2.8528,2.490506538326058
169,2.458,2.7079,2.9635,2.6247360725643967
158,2.3588,2.5608,2.7706,2.450650689329069
22,2.4707,2.7502,3.0443,2.6725989082908086
15,2.498,2.7561,3.0204,2.690898850623161
37,2.3874,2.6076,2.8382,2.5005548788873426
47,2.5824,2.8939,3.2263,2.8911550961189647
7,2.4722,2.7494,3.043,2.672066575092366
163,2.7533,3.1254,3.5125,3.3213140867114954
173,2.3301,2.5301,2.7354,2.412029922509292
46,2.5048,2.7991,3.107,2.742841900436377
148,2.8963,3.3338,3.796,3.890733597806948
57,2.5548,2.848,3.152,2.8197550088061414
65,2.5271,2.7955,3.0707,2.7454827464659806
44,2.6484,2.9672,3.2951,3.0115346117780617
12,2.6216,2.957,3.3153,2.999665588760473
121,2.5058,2.7569,3.0115,2.694932118510894
197,2.4292,2.676,2.9376,2.579151286239695
40,2.4891,2.7518,3.0264,2.6820852397448633
60,2.7474,3.1167,3.5067,3.3063220135701634
111,2.4607,2.7164,2.9778,2.634278780574213
155,2.328,2.5305,2.7423,2.4099773494463097
189,2.4175,2.658,2.9039,2.5587543036063742
154,2.627,2.9577,3.3027,2.9988736461827177
139,2.5647,2.8552,3.1624,2.830994081351515
174,2.6322,2.9524,3.285,2.987773183867424
106,2.5017,2.7815,3.0735,2.720380967657808
25,2.6492,2.9757,3.3177,3.028468006163657
141,2.4711,2.7212,2.9801,2.6432565239795824
191,2.3367,2.5314,2.7329,2.4175553210819283
76,2.4308,2.6632,2.8983,2.5710586211714257
4,2.5985,2.9193,3.2538,2.933124458715465
198,2.3743,2.5849,2.8031,2.476762226035703
107,2.5618,2.8368,3.1184,2.805771495260807
115,2.4473,2.6814,2.919,2.595379333308954
187,2.3453,2.5692,2.8084,2.4446702396107947
100,2.5254,2.7913,3.0634,2.7400230643836654
42,2.2549,2.422,2.592,2.301240521682312
144,2.5936,2.9164,3.2522,2.9284194045221943
85,2.3893,2.6326,2.8855,2.520399329094223
195,2.5667,2.8767,3.2077,2.8631438231741093
58,2.4997,2.7564,3.0198,2.691776195138564
200,2.4768,2.7526,3.0481,2.6769871607619473
88,2.5555,2.8708,3.2079,2.853033061218531
116,2.4163,2.6443,2.8781,2.5468439514077645
184,2.1946,2.3485,2.5107,2.2222444548278593
165,2.5979,2.9206,3.2572,2.935427446308655
159,2.4529,2.6965,2.9505,2.610755946592591
175,2.5636,2.8613,3.1697,2.8400322503029716
110,2.5491,2.8389,3.1342,2.806547259460942
117,2.7236,3.1095,3.5114,3.304869459685657
69,2.4105,2.6332,2.861,2.5348468296983233
152,2.3216,2.512,2.7037,2.396477609888279
92,2.6336,2.9449,3.2708,2.974193828811733
33,2.4488,2.6995,2.9587,2.6118348294010834
72,2.8098,3.2148,3.6406,3.5462652808477886
91,2.4497,2.7003,2.9599,2.6129531916854147
133,2.5241,2.7991,3.0848,2.7486302616962135
96,2.4841,2.7478,3.0198,2.6763227165581056
164,2.4061,2.64,2.8814,2.5370640971523453
135,2.285,2.4521,2.6196,2.339260712855587
112,2.5713,2.86,3.1633,2.8387973840267855
49,2.7066,3.08,3.4724,3.2393573830205797
77,2.3075,2.5073,2.7162,2.3815733431938555
