config,dipole_l,dipole_m,dipole_h,muL
100,2.499,2.7665,3.0416,2.7026319994210173
101,2.7179,3.0964,3.4952,3.2756625011570524
102,2.3297,2.5285,2.7304,2.4112028436652038
103,2.3889,2.6007,2.8202,2.497155844809952
104,2.6414,2.9726,3.3158,3.0239310480808186
105,2.3517,2.5552,2.7626,2.4427954583031726
106,2.4926,2.7617,3.0424,2.694382460585592
107,2.3206,2.5174,2.7264,2.39676659661671
108,2.6966,3.0451,3.4031,3.155175510618904
109,2.569,2.8686,3.1793,2.851344893171245
10,2.3721,2.5842,2.8026,2.4750134195527047
110,2.3616,2.5733,2.7914,2.460630441757645
111,2.533,2.8166,3.108,2.773327577710182
112,2.4009,2.6136,2.8294,2.514703469746165
113,2.3254,2.512,2.7037,2.3988622573442617
114,2.5248,2.8032,3.0903,2.754132680430179
115,2.6241,2.9218,3.2316,2.935481704952958
116,2.4645,2.7208,2.9878,2.639606348435609
117,2.5651,2.8917,3.2445,2.8871707889757703
118,2.5433,2.8313,3.1248,2.795155556668628
119,2.6922,3.0421,3.4094,3.153463535252095
11,2.5265,2.813,3.1113,2.7667129110522044
120,2.631,2.9351,3.2494,2.9571204849285944
121,2.3929,2.6343,2.8881,2.5235352551571033
122,2.5737,2.8775,3.1916,2.8651833314190944
123,2.6186,2.9311,3.2602,2.9519527531958314
124,2.4424,2.6901,2.9431,2.600404349299964
125,2.4534,2.6778,2.9059,2.5952753713372196
126,2.4346,2.7082,2.9977,2.6117493914477303
127,2.3966,2.5958,2.7935,2.499822342887365
128,2.3674,2.5759,2.7912,2.4662973560773325
129,2.5858,2.8854,3.2024,2.8778059396621947
12,2.4851,2.7587,3.0429,2.6883575373142117
130,2.4943,2.771,3.0564,2.7059918678682213
131,2.4773,2.7345,2.9972,2.659920252313241
132,2.4173,2.6542,2.8967,2.555462103644162
133,2.5644,2.8575,3.1623,2.834548886574854
134,2.3426,2.5399,2.7436,2.426789725547581
135,2.6767,3.0327,3.4081,3.1405557045073023
136,2.6166,2.9543,3.3086,2.9947473223623833
137,2.528,2.8133,3.1086,2.7676506819293856
138,2.4313,2.6746,2.9242,2.5805056114211355
139,2.5607,2.8549,3.1629,2.830222273280609
13,2.6384,2.9772,3.331,3.0343228061815024
140,2.3372,2.5262,2.7212,2.415232622666835
141,2.5127,2.7803,3.0552,2.7230996993220695
142,2.667,3.0185,3.3819,3.110548464462572
143,2.3422,2.5345,2.7313,2.4237688685152268
144,2.2468,2.4261,2.6122,2.2947620015667862
145,2.5259,2.7745,3.0207,2.720647611863701
146,2.5362,2.8394,3.1589,2.8041278527973246
147,2.6114,2.9196,3.2371,2.93259719160821
148,2.5345,2.8086,3.0914,2.763371125777381
149,2.4271,2.6717,2.9271,2.57491518734307
14,2.4939,2.7664,3.0548,2.6995839332976934
150,2.4125,2.6524,2.903,2.550300936182069
151,2.5798,2.8767,3.1846,2.864336320623509
152,2.4376,2.684,2.9418,2.5913620281969214
153,2.4526,2.7201,3.0089,2.631668633641117
154,2.6272,2.9522,3.2933,2.9886811287653416
155,2.4882,2.7635,3.0482,2.695101542244467
156,2.4355,2.6751,2.9201,2.58335965746628
157,2.6877,3.0233,3.364,3.1099172485478674
158,2.6492,2.9851,3.3365,3.047164897890046
159,2.5266,2.7876,3.0541,2.736054220373095
