config,dipole_l,dipole_m,dipole_h,muL
178,1.8958,1.9119,1.9288,1.8924491306769284
188,1.8584,1.8631,1.868,1.8572237494883923
26,1.8915,1.9096,1.9277,1.8875076454204025
30,1.8963,1.9184,1.9413,1.8916404801352789
169,1.8558,1.8594,1.863,1.8548640223563977
158,1.8865,1.9028,1.9195,1.882868828043825
22,1.8341,1.829,1.8238,1.8355755959867754
15,1.8377,1.8341,1.8305,1.8387062236822165
37,1.8661,1.8737,1.8814,1.8642254940392944
47,1.8347,1.8301,1.8255,1.8360007594918464
7,1.8196,1.8092,1.7989,1.8227269634436136
163,1.8812,1.8951,1.909,1.8779740148766473
173,1.9479,1.9902,2.0336,1.9414227503733252
46,1.8631,1.8697,1.8762,1.8614659286575648
148,1.8908,1.9091,1.9276,1.8867743760088467
57,1.8683,1.8753,1.8839,1.8668258360820882
65,1.9096,1.9347,1.9599,1.9045935397674365
44,1.8377,1.834,1.8305,1.8387696420812898
12,1.8981,1.9225,1.9493,1.8931969277238085
121,1.8155,1.8033,1.7915,1.8192752140148072
197,1.869,1.8787,1.889,1.8667086250599847
40,2.0057,2.0683,2.1317,2.0004683066031506
60,2.0795,2.1824,2.2893,2.08079707553386
111,1.9455,1.9949,2.0465,1.9378084624316188
155,1.8738,1.8848,1.8959,1.8711716008780825
189,1.8377,1.8352,1.8329,1.8384353981445474
154,1.9928,2.0545,2.1182,1.986692014457379
139,2.0677,2.1519,2.2357,2.067497038598039
174,1.8322,1.8266,1.8209,1.8338291558515811
106,1.8258,1.8175,1.8091,1.8282559251700523
25,1.7773,1.7505,1.7244,1.7866368531225452
141,1.8651,1.8723,1.8795,1.863301407788399
191,1.9106,1.9361,1.9616,1.9055304197058915
76,1.845,1.8448,1.8446,1.8450543680622802
4,1.8464,1.8478,1.8499,1.8461415610276595
198,1.8475,1.8477,1.848,1.847463276517572
107,1.8662,1.874,1.8818,1.86426055991866
115,1.8512,1.853,1.8549,1.8507398054486766
187,1.8694,1.8787,1.8881,1.867135139466631
100,1.8687,1.8778,1.887,1.8664770010433682
42,1.8672,1.8754,1.8836,1.8651701083840944
144,1.8923,1.9107,1.9292,1.8882718495891035
85,1.9138,1.9406,1.9673,1.908597662812155
195,1.8659,1.8736,1.8813,1.8639828420867863
58,1.8709,1.8804,1.8899,1.8685875025960164
200,1.8473,1.8477,1.8483,1.847226482634598
88,1.8966,1.9164,1.9363,1.8923617818981437
116,1.8438,1.8426,1.8415,1.8441448980534052
184,1.9958,2.0584,2.1225,1.989805563299959
165,1.83,1.8233,1.8166,1.8319275416226426
159,1.8039,1.7867,1.7697,1.809358519821911
175,1.8331,1.8278,1.8227,1.8346439158915326
110,1.8312,1.8252,1.8193,1.8329372673913935
117,1.8444,1.8432,1.8421,1.8447439739984528
69,1.8237,1.8144,1.8051,1.826437205055878
152,1.7534,1.7154,1.6769,1.767465237370216
92,1.8618,1.8679,1.8741,1.8602697451923056
33,1.7659,1.7338,1.7019,1.7773004433184463
72,1.8682,1.8766,1.885,1.8661303395789974
91,1.8788,1.8916,1.9046,1.8758250662196998
133,1.8494,1.8557,1.8637,1.8479990309526713
96,2.0774,2.1656,2.2577,2.0782425790918047
164,1.8992,1.9201,1.941,1.8947734294974234
135,1.8281,1.8206,1.8133,1.830309703248861
112,1.8502,1.8516,1.8531,1.8498443640533282
49,1.865,1.8723,1.8797,1.8631910750020122
77,1.8586,1.8633,1.8681,1.8574086185270862
64,1.978,2.0295,2.0807,1.9719607523123113
146,1.9913,2.0387,2.0843,1.9869262728996544
104,1.8553,1.8588,1.8622,1.8544178290921458
134,1.8498,1.8512,1.8526,1.8494268160384775
27,1.9298,1.9679,2.0107,1.9235440173809075
73,1.8195,1.8095,1.7995,1.8224908885022824
28,1.8932,1.9119,1.9307,1.8891251506966722
78,2.0492,2.1242,2.1978,2.047390752474477
105,1.9109,1.9367,1.9625,1.905778507270692
29,1.9389,1.9771,2.0178,1.9328055471225907
101,1.9335,1.9684,2.0034,1.9274975720135639
102,1.848,1.8486,1.8491,1.8478690239940132
38,1.8592,1.8643,1.8693,1.8579223494716155
186,1.957,2.0001,2.0433,1.9507956840030658
1,1.8483,1.8498,1.8518,1.8479826167100393
143,1.8557,1.8591,1.8625,1.8548158232099938
177,1.8609,1.8663,1.8718,1.8595424947610208
123,1.8587,1.8637,1.8688,1.857431679414956
132,1.8431,1.8416,1.8403,1.84354534938369
68,1.9317,1.9682,2.0062,1.925476684321073
130,1.8639,1.8708,1.8777,1.8621668955699366
182,1.8594,1.8645,1.8696,1.8580939245068429
161,1.8644,1.8716,1.879,1.8626268857147326
181,1.8137,1.8008,1.7881,1.8176730880131964
56,1.8715,1.8814,1.8913,1.8690962162750158
3,1.9989,2.0599,2.1215,1.9932663659637075
74,1.954,1.9969,2.0398,1.9476534759705637
151,1.861,1.8666,1.8722,1.8595759001631693
128,1.8451,1.8445,1.8439,1.8452629530496145
118,1.8864,1.9023,1.9183,1.882816702034664
125,1.8561,1.8606,1.8652,1.8549468499882125
153,1.8524,1.8546,1.8567,1.8518498539594217
79,1.8473,1.8473,1.8473,1.8472999999999995
67,1.8548,1.8581,1.8614,1.853938331421671
89,1.8379,1.8341,1.8303,1.838960956023956
80,1.8065,1.7905,1.7746,1.8115179382446362
142,1.8874,1.905,1.9232,1.8835159484764232
31,1.7464,1.7067,1.6673,1.7612850553756871
129,1.8605,1.8663,1.8722,1.8590372644634134
93,1.8474,1.8481,1.8489,1.8472286343460937
6,1.9487,1.9927,2.0352,1.94227054523886
113,2.0682,2.1798,2.2973,2.067904769018353
20,1.8506,1.852,1.8533,1.8502581660642805
172,1.9801,2.0321,2.0837,1.9741617409242413
140,1.8473,1.8474,1.8476,1.847290164810561
99,1.8395,1.8369,1.8344,1.8402396397368819
62,1.9035,1.9272,1.9514,1.8986539626588061
83,1.8483,1.8488,1.8492,1.848196045832266
19,1.8511,1.853,1.8551,1.8506298352934631
59,1.8469,1.8468,1.8467,1.8469269578898815
54,1.8517,1.8537,1.8557,1.8511710929688092
149,1.8368,1.8326,1.8285,1.8379954810442343
103,1.9159,1.9438,1.9718,1.9105333430718454
126,1.8826,1.8971,1.9117,1.879271669486032
39,1.8829,1.898,1.9134,1.8794652021913107
50,1.9017,1.9239,1.9462,1.8970723615578697
120,1.868,1.8744,1.8802,1.8666004957650104
114,1.8477,1.8482,1.8489,1.847599716960903
17,2.0654,2.147,2.228,2.0649932100187205
21,1.8931,1.9116,1.93,1.8890821942897755
10,1.9246,1.9556,1.9865,1.9189657525960377
196,1.8217,1.8119,1.8023,1.8246440280362688
176,1.8442,1.8434,1.8427,1.8444354148202038
156,1.8796,1.8934,1.9076,1.8764292154345803
23,1.8493,1.8503,1.8513,1.8490329643968655
160,1.8599,1.8651,1.8703,1.8585713130512775
90,1.8994,1.9232,1.9486,1.8945586637359424
171,1.7936,1.7735,1.7542,1.8003226066543645
43,1.8857,1.9017,1.9178,1.8820799064599711
41,1.8381,1.837,1.837,1.8386043947363562
124,1.975,2.028,2.0821,1.9685740730359724
183,1.8577,1.8621,1.8666,1.8565813747939977
45,1.8438,1.8428,1.8419,1.8440903812549339
190,1.8338,1.8293,1.8249,1.8350956233268245
157,1.8574,1.861,1.8646,1.8564710087305418
137,1.8479,1.8489,1.8499,1.8476312716579892
2,2.0243,2.0963,2.169,2.019957861434145
66,1.8658,1.8736,1.8814,1.863856756255928
98,1.8359,1.8315,1.8271,1.8371381610211641
108,1.8656,1.873,1.8804,1.8637555049460073
168,1.7431,1.6998,1.656,1.7595204375532545
162,1.887,1.9034,1.9199,1.8833133767532833
185,1.8992,1.9203,1.9415,1.8947431333877334
179,1.8534,1.859,1.8664,1.8522253900509582
24,1.8758,1.8878,1.9,1.8729719719111395
122,1.8745,1.8855,1.8966,1.8718809606534992
61,1.8169,1.8049,1.7929,1.8205176615535523
194,1.8396,1.8369,1.8342,1.8403493102717745
193,1.851,1.8527,1.8543,1.8505791388355126
136,1.8478,1.8483,1.8487,1.84769577396574
82,1.8744,1.8873,1.9012,1.871453287055427
75,1.9442,1.9888,2.0349,1.937177523003202
48,1.8508,1.8529,1.855,1.8502422921393478
14,1.9173,1.9461,1.9752,1.9118275341618796
51,1.8154,1.8032,1.7911,1.8191183260323462
147,1.8608,1.8665,1.8723,1.859364985878865
16,1.8531,1.8556,1.8582,1.852459356253001
8,1.8667,1.8749,1.883,1.864694471093646
81,1.8683,1.8773,1.8864,1.8660975075714337
52,1.9668,2.0112,2.0547,1.961165290991593
166,1.8683,1.8769,1.8856,1.8661971040919034
138,1.8531,1.8556,1.8581,1.8524427053328512
5,1.9098,1.9377,1.9672,1.904407635181612
119,1.8521,1.8542,1.8563,1.851545597376151
13,1.8555,1.8591,1.8626,1.8545925247702073
180,1.8864,1.9027,1.9193,1.8827527063568694
97,1.8388,1.8355,1.8323,1.8397360522848052
170,1.823,1.8135,1.8041,1.8258222314894736
109,1.9411,1.9804,2.0171,1.9353469538677552
18,1.8137,1.8006,1.7873,1.817756771929158
9,1.7324,1.6879,1.6441,1.749803459548137
86,1.8202,1.8098,1.7997,1.82335766844368
55,1.9261,1.9579,1.9897,1.9203469325423033
34,1.8748,1.8866,1.8987,1.872021042200071
199,1.8379,1.8347,1.8316,1.8388118843111267
63,1.8574,1.8619,1.8664,1.8562374918949633
87,1.8323,1.8273,1.8228,1.833818761117929
36,1.8167,1.8053,1.7943,1.8202194705763879
11,1.8457,1.8451,1.8444,1.8458927048037597
127,1.8211,1.8108,1.8005,1.8241598554085223
95,1.884,1.899,1.9142,1.8805943193848933
70,1.8572,1.863,1.8698,1.8558619056499661
94,1.9126,1.939,1.9655,1.9074236084217788
150,1.8555,1.859,1.8626,1.8546053315931954
32,1.8633,1.8708,1.8788,1.861488923728259
192,1.9056,1.9324,1.9612,1.9003514666607972
131,1.9166,1.9458,1.9757,1.9110703473472772
145,1.836,1.8322,1.8283,1.8371002338989384
35,1.9149,1.9429,1.9714,1.909526425052305
71,1.8434,1.8423,1.8412,1.8437008223965885
167,1.8597,1.8647,1.8697,1.8584215118666638
84,1.8427,1.8412,1.8396,1.8431415995469371
53,1.9212,1.951,1.9807,1.9156663111456846
