config,dipole_l,dipole_m,dipole_h,muL
100,2.3165,2.5148,2.7202,2.3929590232894586
101,2.2674,2.4283,2.5896,2.314918050439846
102,2.6206,2.9554,3.3045,2.995793858121563
103,2.58,2.8689,3.1674,2.8528089403839143
104,2.3811,2.6061,2.8373,2.4960490496922794
105,2.2058,2.3574,2.5132,2.235787682402293
106,2.4595,2.7328,3.0165,2.6496779399638895
107,1.9886,2.0467,2.106,1.982521517062451
108,2.4222,2.6728,2.9364,2.572752675976055
109,2.3363,2.5387,2.7473,2.421395083540569
10,2.3599,2.5908,2.8375,2.469198383161805
110,2.3512,2.5748,2.809,2.4533578903153153
111,2.3989,2.6182,2.8419,2.516583319502676
112,2.3531,2.5386,2.7269,2.4343383502574056
113,2.2065,2.3532,2.5007,2.2357778479347457
114,2.5075,2.7728,3.0454,2.712741789217808
115,2.4945,2.7422,2.9996,2.674246097410362
116,2.2913,2.4733,2.6616,2.3526904973264515
117,2.5951,2.881,3.1713,2.8718171944695343
118,2.3449,2.5563,2.78,2.4370484541617325
119,2.5439,2.8265,3.1249,2.7879596835771423
11,2.5159,2.8244,3.1485,2.779038044893133
120,2.6229,2.9281,3.2411,2.945919324898298
121,2.6096,2.9251,3.2553,2.942313439470994
122,2.5244,2.8074,3.1009,2.7591325398998086
123,2.7785,3.1381,3.5111,3.3316833170964935
124,2.5067,2.7651,3.0232,2.7046234367651087
125,2.5603,2.8735,3.2031,2.8578526658172896
126,2.3338,2.529,2.727,2.414673637038576
127,2.1675,2.3042,2.4498,2.186105783402852
128,2.6524,2.989,3.337,3.0533125687193157
129,2.6758,3.0428,3.4272,3.164527655199277
12,2.4368,2.6573,2.8864,2.5684605325510437
130,2.6329,2.9807,3.3479,3.0438930829375432
131,2.4559,2.7241,3.0038,2.6388604395189073
132,2.4188,2.6478,2.8799,2.5515530806375417
133,2.1753,2.3163,2.4618,2.1965273428516214
134,2.329,2.5128,2.702,2.402011890811046
135,2.287,2.4763,2.6781,2.3494519427128777
136,2.8484,3.2443,3.6597,3.5899891160673816
137,2.572,2.8758,3.1925,2.862388037649792
138,2.5927,2.882,3.1818,2.8730541787230433
139,2.3082,2.4964,2.687,2.3778525748299533
13,2.3023,2.5015,2.7065,2.3749466713732033
140,2.4583,2.7329,3.0257,2.6480071626857433
141,2.4258,2.6677,2.9236,2.570203705177734
142,2.3829,2.5945,2.8108,2.489460395490203
143,2.6407,2.9488,3.2674,2.979676010784867
144,2.5032,2.7754,3.0609,2.713541139241251
145,2.561,2.8662,3.1841,2.846927024539923
146,2.4594,2.7265,3.0129,2.6416917524777492
147,2.4844,2.7491,3.0209,2.6780176322307385
148,2.4701,2.7232,2.987,2.6445195881174874
149,2.3164,2.5399,2.7795,2.4047789939508823
14,2.3591,2.5694,2.7869,2.4562624469521634
150,2.596,2.8992,3.219,2.899792822139979
151,2.4911,2.7651,3.0485,2.6979818926902586
152,2.4837,2.7453,3.0137,2.6736985972787446
153,1.9801,2.0327,2.0853,1.9739915214414119
154,2.3905,2.6385,2.8995,2.525163432522624
155,2.2217,2.3581,2.4937,2.251640277412526
