Temperature (K),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
280.0,0.0099182,55.501,0.018018,0.51876,0.51877,1.8757,75.669,75.688,1434.1,-0.023515,1433.7,0.57191,0.074677,liquid
290.0,0.0192,55.44,0.018038,1.2742,1.2742,4.5266,75.095,75.429,1472.1,-0.02272,1084.0,0.59224,0.07321,liquid
300.0,0.035368,55.315,0.018078,2.0278,2.0279,7.0816,74.412,75.32,1501.4,-0.022024,853.75,0.60944,0.071686,liquid
310.0,0.062311,55.139,0.018136,2.7808,2.781,9.5507,73.645,75.294,1523.2,-0.021393,693.32,0.62422,0.070106,liquid
320.0,0.10546,54.919,0.018209,3.5339,3.534,11.941,72.811,75.317,1538.7,-0.020804,576.71,0.63695,0.06847,liquid
330.0,0.17213,54.662,0.018294,4.2873,4.2876,14.26,71.927,75.373,1548.7,-0.020241,489.13,0.64787,0.066781,liquid
340.0,0.27188,54.371,0.018392,5.0414,5.0419,16.511,71.008,75.456,1553.9,-0.01969,421.61,0.65713,0.06504,liquid
350.0,0.41682,54.049,0.018502,5.7964,5.7972,18.7,70.07,75.567,1554.8,-0.01914,368.45,0.66484,0.063248,liquid
360.0,0.62194,53.698,0.018623,6.5526,6.5538,20.83,69.124,75.708,1552.0,-0.018581,325.85,0.67109,0.061406,liquid
370.0,0.90535,53.321,0.018754,7.3104,7.3121,22.906,68.18,75.883,1545.8,-0.018005,291.17,0.67596,0.059517,liquid
380.0,1.2885,52.918,0.018897,8.0701,8.0725,24.932,67.247,76.098,1536.5,-0.017404,262.58,0.6795,0.057581,liquid
390.0,1.7964,52.49,0.019051,8.832,8.8354,26.911,66.331,76.357,1524.3,-0.016769,238.73,0.68178,0.055601,liquid
400.0,2.4577,52.038,0.019217,9.5966,9.6013,28.847,65.438,76.664,1509.5,-0.016092,218.62,0.68285,0.053578,liquid
