config,dipole_l,dipole_m,dipole_h,muL
178,2.6715,3.0265,3.4021,3.12919948651048
188,2.4305,2.6672,2.909,2.57388179900609
26,2.6201,2.9357,3.2662,2.95974485943481
30,2.5508,2.8559,3.1758,2.83033008345445
169,2.4805,2.7333,2.998,2.6590677324769
158,2.6093,2.9364,3.2813,2.96256334838319
22,2.4637,2.6919,2.9238,2.61283591292809
15,2.5626,2.8665,3.1862,2.8473920350698
37,2.5555,2.849,3.1522,2.82134482001443
47,2.5121,2.7912,3.0819,2.73540912302755
7,2.3705,2.5865,2.8093,2.4753439346237
163,2.4722,2.7294,2.9911,2.65265922076079
173,2.7257,3.0861,3.4697,3.24300364357232
46,2.4956,2.7587,3.0289,2.69275692734528
148,2.5438,2.8441,3.1642,2.81185603202085
57,2.4124,2.6292,2.8532,2.53258356032963
65,2.2722,2.4323,2.5975,2.31996105231393
44,2.3936,2.6221,2.8587,2.51547823603121
12,2.5758,2.8678,3.1714,2.8507472990928
121,2.4152,2.6569,2.9135,2.55487492420185
197,2.5189,2.7713,3.0293,2.71495892755934
40,2.3278,2.508,2.6896,2.39924857515204
60,2.5789,2.8716,3.1777,2.85655241947343
111,2.5082,2.8096,3.1248,2.75735439297849
155,2.32,2.5284,2.7485,2.40214833882721
189,2.3546,2.5942,2.8456,2.46834297567688
154,2.5127,2.7866,3.0704,2.73023611675753
139,2.6234,2.9223,3.2285,2.93617725365797
174,2.3591,2.5659,2.7783,2.45435319756126
106,2.8361,3.2542,3.6953,3.65812821463929
25,2.6287,2.9509,3.2853,2.98562073784835
141,2.506,2.7871,3.0795,2.72860046737924
191,2.2943,2.4605,2.6257,2.35058166596715
76,2.3195,2.5145,2.7193,2.39477730694509
4,2.5246,2.7991,3.0799,2.74925474983112
198,2.4552,2.7032,2.9616,2.61816084863612
107,2.67,2.9986,3.3405,3.06735470230219
115,2.4222,2.6657,2.9201,2.5669919161605
187,2.7612,3.1226,3.4963,3.30434769309238
100,2.5027,2.7894,3.0874,2.73037493620238
42,2.4315,2.6647,2.9014,2.57257454777711
144,2.1363,2.255,2.3767,2.14722047740837
85,2.6518,2.9726,3.3001,3.02056831851121
195,2.4168,2.6605,2.9175,2.55908472206244
58,2.7196,3.0612,3.4177,3.18147060225826
200,2.6868,3.0394,3.4116,3.15089792633245
88,2.7533,3.112,3.4773,3.2792914094766
116,2.1838,2.3178,2.4612,2.20497669359262
184,2.6303,2.9515,3.2806,2.98602243038275
165,2.4585,2.7209,2.9905,2.63750914890997
159,2.7054,3.0504,3.4077,3.16354860232204
175,2.7168,3.0828,3.4661,3.23797872392434
110,2.6479,2.9839,3.3414,3.04621913772049
117,2.7601,3.1296,3.5083,3.32248024447238
69,2.6506,2.9935,3.3497,3.06356245956779
152,2.6003,2.9241,3.2617,2.94134097186269
92,2.4687,2.706,2.9494,2.62784928744722
33,2.4437,2.6897,2.9456,2.59995045854309
72,2.3537,2.5525,2.7549,2.44269291645393
91,2.3966,2.6166,2.8386,2.51437086022658
133,2.8387,3.2442,3.6727,3.61241401278659
96,2.433,2.6876,2.9534,2.59220839386992
164,2.393,2.6321,2.8829,2.52202583599893
135,2.3489,2.5584,2.7776,2.44170173012666
112,2.5973,2.9236,3.2601,2.94055915600588
49,2.6154,2.9333,3.2599,2.95568548355235
77,2.4769,2.7577,3.0552,2.68317174438123
64,2.3258,2.5191,2.7161,2.40306974845941
146,2.4533,2.6949,2.942,2.61026042709312
104,2.6955,3.0562,3.4375,3.1867006212541
134,2.6304,2.9568,3.2929,2.99597294677302
27,2.4227,2.6548,2.8979,2.55815065992633
73,2.5863,2.8824,3.1833,2.87348772521137
28,2.3743,2.5795,2.7855,2.47436677943879
78,2.5686,2.8582,3.1568,2.83619825207707
105,2.336,2.5109,2.686,2.40715586258795
29,2.6494,2.958,3.278,2.9946976781116
101,2.4511,2.704,2.965,2.61729532552428
102,2.518,2.7912,3.0711,2.73772637097833
38,2.7637,3.1518,3.5587,3.39234831842914
186,2.3796,2.6006,2.8278,2.49119614820667
1,2.7246,3.0814,3.4593,3.23051510239609
143,2.3051,2.5045,2.7141,2.37805117593592
177,2.5746,2.866,3.1622,2.84829682836473
123,2.2657,2.4647,2.6738,2.32613976701211
132,2.4982,2.7487,3.0023,2.68342462196158
68,2.4896,2.7521,3.0312,2.68193620808422
130,2.5468,2.8317,3.1239,2.79620938275569
182,2.4117,2.6348,2.861,2.5371344293486
161,2.6052,2.92,3.2476,2.93382328591468
181,2.4818,2.7689,3.074,2.69774089220203
56,2.5842,2.8803,3.1899,2.86998099655466
3,2.5605,2.85,3.1477,2.82356422475165
74,2.423,2.6593,2.903,2.56264875167462
151,2.5978,2.9215,3.2557,2.93686411151383
128,2.3304,2.5295,2.7363,2.41155323004997
118,2.6583,3.0131,3.381,3.10275679148494
125,2.6291,2.9688,3.3273,3.02060066467974
153,2.608,2.9173,3.2378,2.92902272016535
79,2.5236,2.805,3.0996,2.7555901942187
67,2.457,2.6986,2.9434,2.61585773844519
89,2.608,2.9136,3.2259,2.92275990138512
80,2.7529,3.1608,3.5931,3.44186939175822
142,2.5628,2.8512,3.1507,2.82539061962374
31,2.3891,2.5871,2.7899,2.4885415276325
129,2.4903,2.7603,3.0436,2.69172637847974
93,2.6903,3.0368,3.3959,3.14061454817763
6,2.4343,2.6982,2.9742,2.60259894027698
113,2.6147,2.9375,3.277,2.96376600317381
20,2.2471,2.3842,2.5188,2.28232476363214
172,2.2496,2.4068,2.5669,2.29129819063874
140,2.4067,2.6381,2.873,2.53662288238371
99,2.334,2.5011,2.6709,2.40029806462137
62,2.2796,2.4568,2.6394,2.33587373327936
83,2.4318,2.6773,2.9339,2.58234103274095
19,2.4989,2.7772,3.0678,2.71433867564221
59,2.3462,2.565,2.7959,2.44329848419318
54,2.4718,2.6835,2.8945,2.60960221235088
149,2.5938,2.9145,3.2527,2.92527424987664
103,2.3495,2.564,2.7852,2.44603773878133
126,2.3727,2.5771,2.7904,2.47038112081895
39,2.3849,2.6135,2.8518,2.50325414323761
50,2.4687,2.7326,3.0072,2.65349389686014
120,2.4904,2.7464,3.0119,2.67711562079981
114,2.6033,2.9002,3.2038,2.90132811930673
17,2.6385,2.9779,3.3297,3.03527049730673
21,2.6683,3.0259,3.4019,3.12871445967684
10,2.3746,2.5909,2.8157,2.48080420412296
196,2.4318,2.6575,2.8847,2.56705792663367
176,2.553,2.8444,3.1504,2.8141506892939
156,2.3792,2.6043,2.8336,2.49385321853798
23,2.4989,2.7675,3.0448,2.70358460363441
160,2.4457,2.6803,2.918,2.59365288196482
90,2.4657,2.7152,2.9758,2.63455153411777
171,2.1389,2.2616,2.3888,2.15062666788343
43,2.5474,2.8515,3.1673,2.82362836219934
41,2.4119,2.6487,2.8921,2.54764035049172
124,2.4723,2.7423,3.0219,2.66542528476439
183,2.3382,2.527,2.7175,2.41709652922878
45,2.4067,2.6557,2.9174,2.54920213640233
190,2.4834,2.7228,2.9674,2.65069407566584
157,2.3326,2.5439,2.7632,2.42120099981657
137,2.6509,2.9812,3.3248,3.03845590739776
2,2.4575,2.7063,2.9648,2.62232901308876
66,2.499,2.7563,3.0223,2.69114015126713
98,2.3747,2.6073,2.8527,2.49143738073047
108,2.505,2.777,3.0502,2.71755380137081
168,2.4911,2.7527,3.0245,2.68406881822955
162,2.1839,2.3221,2.4621,2.20653790524115
185,2.495,2.7524,3.0159,2.68578439082844
179,2.3045,2.4973,2.6988,2.37430525343592
24,2.3418,2.5391,2.7396,2.42625470447843
122,2.6675,3.0199,3.3879,3.11452394177997
61,2.4446,2.7041,2.9777,2.61318441790857
194,2.3382,2.5373,2.7431,2.42197281291375
193,2.6712,3.0026,3.3424,3.07405273041877
136,2.5861,2.9021,3.231,2.90457697527052
82,2.5308,2.8261,3.1376,2.78463691076333
75,2.4858,2.7515,3.0311,2.68019538705831
48,2.51,2.7941,3.0911,2.73819106338561
14,2.4718,2.7165,2.9677,2.63928458947018
51,2.6339,2.9643,3.31,3.01012552243075
147,2.52,2.7826,3.0549,2.72774644786257
16,2.3718,2.5885,2.8116,2.47763612931095
8,2.3763,2.5954,2.8208,2.48537786705713
81,2.6204,2.9351,3.2623,2.95849724784645
52,2.2875,2.4701,2.659,2.34808538267422
166,2.6008,2.8967,3.2061,2.89582626004237
138,2.4565,2.6986,2.9481,2.61494810549073
5,2.5389,2.8024,3.0692,2.75733730786439
119,2.5701,2.8751,3.1981,2.86100891594917
13,2.5634,2.8501,3.1435,2.82420062899776
180,2.6695,2.9883,3.3158,3.04618203455831
97,2.6712,3.0206,3.3839,3.11388054222881
170,2.5414,2.8029,3.0695,2.75838279305789
109,2.3768,2.6215,2.8795,2.50307192521269
18,2.5552,2.8623,3.1843,2.84035781845902
9,2.8651,3.3067,3.7743,3.84131930426928
86,2.5605,2.8522,3.1533,2.82660041331309
55,2.4716,2.7241,2.9874,2.6460692594998
34,2.6502,2.999,3.3667,3.07662413372644
199,2.3476,2.5522,2.7672,2.43694430862495
63,2.2523,2.4245,2.6043,2.29916322468607
87,2.5289,2.7972,3.0694,2.74835387309791
36,2.2218,2.3766,2.5342,2.25636689070157
11,2.4675,2.7225,2.9874,2.64278401847137
127,2.5579,2.8385,3.1252,2.8074419478995
95,2.6855,3.0254,3.384,3.11932134729444
70,2.6179,2.929,3.2556,2.94832133434982
94,2.2824,2.4549,2.6292,2.33799989060249
150,2.4023,2.6236,2.8477,2.52296742743163
32,2.4628,2.7125,2.9724,2.63072238812968
192,2.2607,2.4215,2.5848,2.30630222630645
131,2.4781,2.7124,2.9463,2.63897751174879
145,2.4087,2.6563,2.9147,2.55123331580078
35,2.6008,2.9249,3.2644,2.94277741843113
71,2.4099,2.6161,2.8263,2.52189401518407
167,2.3908,2.6078,2.8291,2.50394055678475
84,2.2188,2.3419,2.4647,2.24477786713316
53,2.5206,2.7892,3.0668,2.73581038754347
