config,dipole_l,dipole_m,dipole_h,muL
100,2.3367,2.5346,2.7372,2.419654204326653
101,2.54,2.8129,3.0961,2.769955342171899
102,2.4219,2.6497,2.8809,2.5548183370748347
103,2.629,2.9783,3.3475,3.0401840733469823
104,2.6245,2.9336,3.2449,2.9548026757414068
105,2.4519,2.719,3.0023,2.6310534175137144
106,2.7237,3.0508,3.3846,3.1526523531840445
107,2.4967,2.7525,3.0096,2.687186173498359
108,2.335,2.5429,2.7509,2.423768975094165
109,2.4142,2.66,2.9189,2.557181091651303
10,2.342,2.5407,2.7443,2.427035444212895
110,2.329,2.5369,2.7556,2.4140230985243987
111,2.4464,2.6984,2.9609,2.609275027212076
112,2.4938,2.7537,3.0199,2.686719058240063
113,2.635,2.945,3.2719,2.9743501616073074
114,2.4587,2.713,2.974,2.629849938216843
115,2.571,2.8731,3.1991,2.857799929627571
116,2.728,3.0971,3.4808,3.2654750641716572
117,2.5762,2.8714,3.1812,2.8559947263007612
118,2.7462,3.0993,3.4617,3.2537662498872666
119,2.7173,3.0714,3.4395,3.207048397086683
11,2.5167,2.7835,3.0583,2.728004718319208
120,2.3705,2.5929,2.8298,2.4783095835107
121,2.6842,3.051,3.4376,3.1806229065124487
122,2.541,2.8455,3.1687,2.8134817714241143
123,2.419,2.6619,2.9135,2.562321002484934
124,2.5165,2.8038,3.0987,2.7527950090168534
125,2.7756,3.1732,3.588,3.4453435596783217
126,2.6459,2.9782,3.3256,3.034222541036516
127,2.6758,3.0252,3.3856,3.121142503419965
128,2.2801,2.4579,2.6403,2.3368653775912933
129,2.5752,2.8881,3.2187,2.8816766468110786
12,2.5795,2.8728,3.1769,2.858477552626952
130,2.5792,2.9204,3.2814,2.9367665410733355
131,2.5689,2.8491,3.1316,2.8238373667783447
132,2.5662,2.8628,3.1697,2.842531045394274
133,2.6489,2.9919,3.3558,3.062383614535514
134,2.6076,2.9294,3.2649,2.9499650747510073
135,2.537,2.8363,3.1576,2.799442830801539
136,2.4972,2.7628,3.0301,2.6986258590852574
137,2.4801,2.7332,2.9917,2.659761703534628
138,2.5846,2.8837,3.1878,2.8753864777562965
139,2.2461,2.4055,2.57,2.287431729686338
13,2.4796,2.7461,3.0209,2.6726972474560102
140,2.5179,2.8038,3.1072,2.7520683789493336
141,2.6696,3.0165,3.3764,3.1052742182552913
142,2.6937,3.0208,3.3633,3.104807400294411
143,2.4634,2.7084,2.9548,2.6284213881657092
144,2.8097,3.2157,3.6382,3.5435455499440915
145,2.6718,3.027,3.4053,3.131023180582357
146,2.2824,2.4607,2.6448,2.3398301337667324
147,2.4154,2.6463,2.8841,2.5477253784590665
148,2.4314,2.6993,2.9772,2.602470045963024
149,2.4095,2.6582,2.9173,2.553362856248142
14,2.4593,2.7031,2.9577,2.6199743365183963
150,2.0988,2.1989,2.3046,2.1026189207525783
151,2.2783,2.4551,2.64,2.333688462049958
152,2.6301,2.9501,3.2775,2.983462936532786
153,2.5012,2.7706,3.0453,2.7083659885507583
154,2.5309,2.7936,3.0639,2.744145982984245
