config,dipole_l,dipole_m,dipole_h,muL
100,2.2684,2.4463,2.628,2.3221323208569706
101,2.609,2.9201,3.2413,2.933629587857081
102,2.6189,2.9116,3.2131,2.919092824292936
103,2.4114,2.6356,2.8579,2.5377949225268908
104,2.3307,2.5393,2.7556,2.4171839970422475
105,2.575,2.8748,3.1894,2.861012599981972
106,2.5955,2.893,3.2007,2.8899964564631713
107,2.7204,3.0637,3.4211,3.186545467512084
108,2.5458,2.8394,3.1439,2.8062560181018936
109,2.3932,2.6222,2.859,2.5153484891926263
10,2.5641,2.8587,3.1605,2.8364915659248884
110,2.4932,2.7733,3.0685,2.7074234616105315
111,2.5193,2.7756,3.0389,2.719778361678579
112,2.3445,2.5504,2.7611,2.434505419571617
113,2.4328,2.678,2.9292,2.5843553587121324
114,2.5711,2.8636,3.1618,2.844426089302723
115,2.5685,2.8727,3.1987,2.8570689801751206
116,2.595,2.9174,3.2561,2.9301654945105913
117,2.4389,2.6706,2.9095,2.580984332032675
118,2.6295,2.9412,3.2633,2.967907407363685
119,2.4553,2.7317,3.0234,2.645836630008706
11,2.5103,2.7907,3.0813,2.73442831355058
120,2.3471,2.5388,2.738,2.4293294168731863
121,2.648,2.9655,3.2956,3.0088889960746132
122,2.39,2.6262,2.876,2.515278565744975
123,2.717,3.0762,3.4515,3.220233408183277
124,2.5214,2.8065,3.1041,2.7569926045000086
125,2.3775,2.5996,2.8292,2.48886856052326
126,2.604,2.8906,3.1807,2.8865310273918556
127,2.3617,2.5848,2.8186,2.467389248887387
128,2.4766,2.7328,2.9972,2.657467264743369
129,2.6198,2.9318,3.2563,2.95280830033958
12,2.6162,2.9143,3.216,2.9234348375560724
130,2.4672,2.7366,3.019,2.656673896080537
131,2.7266,3.0763,3.4422,3.213867390717323
132,2.6791,3.0275,3.3906,3.1258510152836902
133,2.525,2.7838,3.0472,2.731244730370764
134,2.4995,2.7605,3.0349,2.6953034035581793
135,2.595,2.9241,3.2701,2.94195139786113
136,2.6226,2.9352,3.2616,2.958493804247606
137,2.5288,2.8028,3.087,2.754520319476926
138,2.7027,3.053,3.4172,3.1717827643054686
139,2.7801,3.1812,3.5989,3.4656307802202084
13,2.3654,2.5575,2.7496,2.4545823167107472
140,2.835,3.257,3.7004,3.6690882897912953
141,2.3101,2.5106,2.722,2.3850653451557275
142,2.6482,2.9851,3.3393,3.0478055279169594
143,2.6069,2.898,3.2032,2.8978779088394813
144,2.4285,2.6684,2.9146,2.5736050613301473
145,2.6626,2.9956,3.3418,3.063752017816659
146,2.587,2.8972,3.2196,2.8965714712054003
147,2.4375,2.6742,2.9167,2.583577721126557
148,2.5092,2.7736,3.0558,2.7128737606689928
149,2.3527,2.5737,2.8087,2.4531863755119274
14,2.4358,2.6828,2.9377,2.5899142373403525
150,2.3403,2.5478,2.762,2.429531487301828
151,2.405,2.643,2.892,2.538162067207955
152,2.4949,2.767,3.0489,2.7014574301590626
153,2.5211,2.8107,3.1203,2.7615112145836673
154,2.3553,2.5595,2.7692,2.4477270605329484
