config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.3744,2.5923,2.8156,2.482135416759117,0,1,1
2,2.4803,2.7473,3.0289,2.6733498878226456,1,1,2
3,2.7025,3.0794,3.4778,3.242368297195514,1,1,2
4,2.7665,3.129,3.5052,3.318001912754735,0,0,0
5,2.5045,2.769,3.0417,2.707285020744335,0,1,1
6,2.3708,2.6009,2.8372,2.485417102966365,1,1,2
7,2.4551,2.6946,2.9447,2.6100514623733804,1,1,2
8,2.609,2.9454,3.2975,2.979100625896784,2,1,3
9,2.6075,2.9503,3.3107,2.9889175784501503,1,1,2
10,2.4284,2.6685,2.9166,2.573349786372059,0,0,0
11,2.5943,2.911,3.2409,2.919194458600967,2,0,2
12,2.6029,2.9072,3.2227,2.912575202930472,1,1,2
13,2.5875,2.8968,3.215,2.8959356301617394,0,1,1
14,2.3993,2.6239,2.8523,2.5211565108239093,1,1,2
15,2.3257,2.5377,2.759,2.4121232488833013,1,1,2
16,2.5544,2.8393,3.129,2.808041727288138,0,1,1
17,2.5351,2.8324,3.1448,2.794240058323442,1,0,1
18,2.5549,2.8629,3.1809,2.841475820659291,1,1,2
19,2.4492,2.6983,2.956,2.610891631707311,0,0,0
20,2.6135,2.9028,3.2,2.905313415876547,1,0,1
21,2.4531,2.7114,2.989,2.623598371851513,2,0,2
22,2.8268,3.2197,3.6275,3.528985957069329,1,0,1
23,2.3952,2.6188,2.8499,2.514161693298922,1,1,2
24,2.5604,2.896,3.2505,2.894416579667725,1,1,2
25,2.4222,2.649,2.8811,2.554107323076824,0,0,0
26,2.6709,3.0097,3.3665,3.091278168128144,2,0,2
27,2.6033,2.9407,3.3026,2.971916890131343,1,1,2
28,2.6534,3.002,3.3645,3.0806847514228344,1,1,2
29,2.6686,2.9771,3.2934,3.025036045549439,0,1,1
30,2.4067,2.6364,2.8736,2.5346152004889686,1,1,2
31,2.3029,2.4828,2.6696,2.366486478805013,1,1,2
32,2.629,2.9674,3.3206,3.0172694551446524,1,0,1
33,2.5051,2.7611,3.0225,2.699025616059461,0,0,0
34,2.3247,2.5323,2.7501,2.408223731966454,0,0,0
