config,dipole_l,dipole_m,dipole_h,muL
178,2.5935,2.8872,3.187,2.881048794855639
188,2.3251,2.5329,2.7515,2.4087691240992255
26,2.4725,2.7184,2.9633,2.6421926748841247
30,2.3657,2.5904,2.8202,2.474890399904583
169,2.3321,2.537,2.7475,2.4173234313862264
158,2.6526,2.9752,3.3098,3.0260849215314787
22,2.3915,2.6163,2.852,2.5093829432504884
15,2.497,2.7582,3.027,2.6926466922723225
37,2.3531,2.5521,2.7526,2.4423636617587743
47,2.327,2.5168,2.7164,2.401851579854081
7,2.3502,2.5557,2.7643,2.4421292927034335
163,2.1943,2.3355,2.4819,2.219357791353282
173,2.5632,2.8707,3.1875,2.854072187076629
46,2.085,2.1892,2.2991,2.087071695110894
148,2.5044,2.7502,2.9983,2.687404741877677
57,2.6781,3.0023,3.3379,3.0716429345154075
65,2.5673,2.8617,3.1665,2.8410363366898954
44,2.2505,2.4042,2.5614,2.2911835975210857
12,2.2507,2.4347,2.6296,2.3008709731970276
121,2.745,3.1124,3.4886,3.2887098476481733
197,2.1756,2.3275,2.4841,2.1989103425418826
40,2.5108,2.8164,3.1388,2.7667654196041553
60,2.4769,2.76,3.0574,2.6861283029529304
111,2.5721,2.8611,3.1574,2.840839381152715
155,2.4363,2.7185,3.0124,2.6236228664317345
189,2.1765,2.3257,2.4805,2.1994225207306313
154,2.3031,2.4838,2.6666,2.3678133559219368
139,2.5866,2.9019,3.2328,2.9042572486044596
174,2.5075,2.7845,3.0694,2.7263621627402177
106,2.298,2.4919,2.6876,2.3673949758620614
25,2.4563,2.6803,2.9116,2.5983356001741456
141,2.4494,2.6944,2.9439,2.608029638538564
191,2.9516,3.408,3.8857,4.120765964979647
76,2.3513,2.5646,2.7868,2.447360422281219
4,2.4659,2.7375,3.0224,2.6570137947711645
198,2.4362,2.7087,2.9981,2.6128986217211265
107,2.5293,2.7961,3.0694,2.746841632085962
115,2.3846,2.6304,2.8961,2.5138224645880243
187,2.3153,2.5126,2.7156,2.3910923625372575
100,2.41,2.6216,2.8359,2.5262027979786064
42,2.3873,2.6485,2.9438,2.5272756731701116
144,2.644,2.978,3.3238,3.0338201149466686
85,2.2541,2.443,2.6462,2.3065740790640867
195,2.4265,2.6771,2.9429,2.5785593250312258
58,2.3466,2.5546,2.7708,2.4379817758196265
200,2.31,2.5238,2.7496,2.3915595540393872
88,2.2693,2.4431,2.6196,2.321839959500696
116,2.4332,2.6717,2.9127,2.57964977143013
184,2.4187,2.6404,2.8694,2.544916809785269
165,2.4855,2.7502,3.025,2.679209101020762
159,2.4697,2.744,3.0302,2.6658140169744757
175,2.4776,2.7269,2.9772,2.652956588114316
110,2.4413,2.693,2.9506,2.602407588619897
117,2.4773,2.7568,3.0488,2.6829309279344224
69,2.3352,2.5552,2.7889,2.428804297182716
152,2.4609,2.7004,2.9426,2.6194793821324556
92,2.4653,2.7286,3.0005,2.6481933092814023
33,2.2296,2.3944,2.5651,2.2685461481354854
72,2.5606,2.8791,3.214,2.8666625515945827
91,2.5575,2.8149,3.0696,2.7763019047677324
133,2.0982,2.2159,2.3409,2.102686194934982
96,2.497,2.7679,3.0415,2.7041780577512373
164,2.6803,3.0179,3.3669,3.1032543806701254
135,2.4643,2.7323,3.0098,2.651436416642514
112,2.4941,2.7765,3.0714,2.711852816110967
49,2.2905,2.4804,2.6752,2.3553509902620533
77,2.5289,2.798,3.0739,2.749008671014549
64,2.5377,2.8124,3.0956,2.768960950419474
146,2.4617,2.7258,3.001,2.643321867202783
104,2.3508,2.5337,2.7172,2.4302667372472615
134,2.4103,2.6601,2.9188,2.5556916729513657
27,2.6997,3.0547,3.4201,3.1762112116469994
73,2.5304,2.802,3.0759,2.7547929905628106
28,1.9105,1.9362,1.9659,1.9058769053185518
78,2.5061,2.7855,3.0775,2.7265375243935392
105,2.6542,2.9699,3.3006,3.016038704283896
29,2.4612,2.7032,2.9502,2.6218870913702497
101,2.151,2.2666,2.3817,2.1641813073396636
102,1.9218,1.9547,1.9903,1.9159722862276822
38,2.1738,2.3267,2.4887,2.196550103678885
186,2.0914,2.1944,2.2997,2.0943806975184005
1,2.3826,2.6144,2.8544,2.502643998029923
143,2.2717,2.4197,2.5729,2.314902529147121
177,2.2168,2.3642,2.5138,2.2483305571194023
123,2.2976,2.4999,2.721,2.368263803297925
132,2.2,2.3573,2.5236,2.2295862178879613
68,2.273,2.4625,2.6627,2.3316972416228587
130,2.5166,2.802,3.104,2.749531185262595
182,2.2976,2.4598,2.6206,2.3529970702900354
161,2.2575,2.4448,2.6397,2.311248981129107
181,2.1231,2.2245,2.3258,2.1305029007135343
56,2.6197,2.9326,3.2517,2.953840808689962
3,2.2092,2.3557,2.5055,2.238762295225084
74,2.6111,2.9301,3.2582,2.9505768346746395
151,2.4941,2.7668,3.0492,2.7009578680655335
128,2.2951,2.4859,2.6856,2.3611319642898017
118,2.2787,2.4726,2.6753,2.3411992434461606
125,2.311,2.509,2.7167,2.3851842735601525
153,2.4003,2.6165,2.84,2.5157281976530745
79,2.5199,2.7748,3.042,2.7184028332682573
67,2.4021,2.6319,2.8754,2.527259633718658
89,2.643,2.991,3.3595,3.0624614134799852
80,2.5612,2.8439,3.1376,2.814988629282265
142,2.664,2.9665,3.2716,3.006103573459467
31,2.4704,2.7286,2.9918,2.650987088460693
129,2.2552,2.4467,2.6514,2.3091054076698305
93,2.4027,2.6343,2.8721,2.530761460777425
6,2.4642,2.7102,2.9623,2.6297867538452446
113,2.6865,3.022,3.3599,3.1069493349555315
20,2.595,2.9264,3.2798,2.946332820529806
172,2.4243,2.7034,2.9968,2.6018738610063434
140,2.3774,2.5971,2.8267,2.486672171378474
99,1.9236,1.9633,2.0074,1.9167273307377777
62,2.8182,3.2058,3.609,3.4946375427398255
83,2.4698,2.7407,3.0225,2.6624634967506564
19,2.4109,2.6282,2.8521,2.5310277772754812
59,2.2507,2.446,2.6559,2.3044862640145856
54,2.5156,2.7923,3.0785,2.738032709377454
149,2.1905,2.3264,2.465,2.2138970066662895
103,2.1501,2.285,2.4286,2.16513086120241
126,2.7023,3.0725,3.4633,3.223611371802981
39,2.4567,2.6863,2.9168,2.604855585651797
50,2.0759,2.1741,2.2754,2.0766592621381608
120,2.4212,2.6758,2.9417,2.575112256573579
114,2.5479,2.838,3.1413,2.8045079689294905
17,2.2845,2.4584,2.6332,2.3413552208697452
21,2.1482,2.2719,2.4006,2.161617484483572
10,2.5637,2.8756,3.2033,2.8613947651777774
196,2.1913,2.3367,2.4872,2.216652231589972
176,2.1376,2.2674,2.4107,2.1494442727330374
156,2.6292,2.9696,3.3285,3.022129164798996
23,2.2593,2.433,2.62,2.307786504513272
160,2.3194,2.5161,2.7213,2.395722049219204
90,2.3222,2.5055,2.6955,2.3928308840990367
171,2.286,2.4845,2.6898,2.353049772735508
43,2.6598,2.9855,3.323,3.044104054094955
41,2.6464,2.9853,3.3342,3.0474326871093678
124,2.7968,3.1687,3.5429,3.3912022763557985
183,1.8531,1.8482,1.8444,1.8545562762151686
45,2.44,2.704,2.9826,2.610670786181012
190,2.4262,2.6824,2.9461,2.5844338608127044
157,2.3954,2.6422,2.8978,2.531950678724618
