Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.0,0.1,997.04,0.001003,1.8772,1.8773,6.5777,74.556,75.333,1496.1,-0.022157,893.09,0.60622,liquid
298.0,0.2,997.05,0.001003,1.8771,1.8775,6.5777,74.555,75.333,1496.2,-0.022157,893.08,0.60622,liquid
298.0,0.3,997.05,0.001003,1.8771,1.8777,6.5776,74.554,75.332,1496.2,-0.022157,893.08,0.60623,liquid
298.0,0.4,997.06,0.001003,1.8771,1.8778,6.5776,74.554,75.332,1496.2,-0.022157,893.08,0.60624,liquid
298.0,0.5,997.06,0.0010029,1.8771,1.878,6.5775,74.553,75.331,1496.2,-0.022157,893.08,0.60624,liquid
298.0,0.6,997.07,0.0010029,1.8771,1.8782,6.5775,74.553,75.331,1496.2,-0.022157,893.08,0.60625,liquid
298.0,0.7,997.07,0.0010029,1.8771,1.8783,6.5774,74.552,75.33,1496.2,-0.022157,893.08,0.60625,liquid
298.0,0.8,997.08,0.0010029,1.8771,1.8785,6.5774,74.551,75.33,1496.3,-0.022157,893.08,0.60626,liquid
298.0,0.9,997.08,0.0010029,1.877,1.8787,6.5773,74.551,75.329,1496.3,-0.022157,893.07,0.60626,liquid
298.0,1.0,997.09,0.0010029,1.877,1.8788,6.5773,74.55,75.329,1496.3,-0.022157,893.07,0.60627,liquid
298.0,1.1,997.09,0.0010029,1.877,1.879,6.5773,74.549,75.328,1496.3,-0.022157,893.07,0.60628,liquid
298.0,1.2,997.09,0.0010029,1.877,1.8792,6.5772,74.549,75.328,1496.3,-0.022157,893.07,0.60628,liquid
298.0,1.3,997.1,0.0010029,1.877,1.8793,6.5772,74.548,75.327,1496.3,-0.022157,893.07,0.60629,liquid
298.0,1.4,997.1,0.0010029,1.877,1.8795,6.5771,74.548,75.327,1496.4,-0.022157,893.07,0.60629,liquid
298.0,1.5,997.11,0.0010029,1.877,1.8797,6.5771,74.547,75.326,1496.4,-0.022157,893.07,0.6063,liquid
298.0,1.6,997.11,0.0010029,1.877,1.8798,6.577,74.546,75.326,1496.4,-0.022157,893.06,0.6063,liquid
298.0,1.7,997.12,0.0010029,1.8769,1.88,6.577,74.546,75.325,1496.4,-0.022157,893.06,0.60631,liquid
298.0,1.8,997.12,0.0010029,1.8769,1.8802,6.5769,74.545,75.325,1496.4,-0.022157,893.06,0.60632,liquid
298.0,1.9,997.13,0.0010029,1.8769,1.8803,6.5769,74.545,75.324,1496.4,-0.022157,893.06,0.60632,liquid
298.0,2.0,997.13,0.0010029,1.8769,1.8805,6.5768,74.544,75.323,1496.5,-0.022157,893.06,0.60633,liquid
298.0,2.1,997.14,0.0010029,1.8769,1.8807,6.5768,74.543,75.323,1496.5,-0.022156,893.06,0.60633,liquid
298.0,2.2,997.14,0.0010029,1.8769,1.8808,6.5767,74.543,75.322,1496.5,-0.022156,893.06,0.60634,liquid
298.0,2.3,997.14,0.0010029,1.8769,1.881,6.5767,74.542,75.322,1496.5,-0.022156,893.05,0.60634,liquid
298.0,2.4,997.15,0.0010029,1.8768,1.8812,6.5767,74.542,75.321,1496.5,-0.022156,893.05,0.60635,liquid
298.0,2.5,997.15,0.0010029,1.8768,1.8813,6.5766,74.541,75.321,1496.5,-0.022156,893.05,0.60635,liquid
298.0,2.6,997.16,0.0010029,1.8768,1.8815,6.5766,74.54,75.32,1496.6,-0.022156,893.05,0.60636,liquid
298.0,2.7,997.16,0.0010028,1.8768,1.8817,6.5765,74.54,75.32,1496.6,-0.022156,893.05,0.60637,liquid
298.0,2.8,997.17,0.0010028,1.8768,1.8818,6.5765,74.539,75.319,1496.6,-0.022156,893.05,0.60637,liquid
298.0,2.9,997.17,0.0010028,1.8768,1.882,6.5764,74.539,75.319,1496.6,-0.022156,893.05,0.60638,liquid
298.0,3.0,997.18,0.0010028,1.8768,1.8822,6.5764,74.538,75.318,1496.6,-0.022156,893.04,0.60638,liquid
298.0,3.1,997.18,0.0010028,1.8767,1.8823,6.5763,74.537,75.318,1496.6,-0.022156,893.04,0.60639,liquid
298.0,3.2,997.18,0.0010028,1.8767,1.8825,6.5763,74.537,75.317,1496.7,-0.022156,893.04,0.60639,liquid
298.0,3.3,997.19,0.0010028,1.8767,1.8827,6.5762,74.536,75.317,1496.7,-0.022156,893.04,0.6064,liquid
298.0,3.4,997.19,0.0010028,1.8767,1.8828,6.5762,74.536,75.316,1496.7,-0.022156,893.04,0.60641,liquid
298.0,3.5,997.2,0.0010028,1.8767,1.883,6.5761,74.535,75.316,1496.7,-0.022156,893.04,0.60641,liquid
298.0,3.6,997.2,0.0010028,1.8767,1.8832,6.5761,74.534,75.315,1496.7,-0.022156,893.04,0.60642,liquid
298.0,3.7,997.21,0.0010028,1.8767,1.8833,6.5761,74.534,75.315,1496.7,-0.022156,893.03,0.60642,liquid
298.0,3.8,997.21,0.0010028,1.8767,1.8835,6.576,74.533,75.314,1496.8,-0.022156,893.03,0.60643,liquid
298.0,3.9,997.22,0.0010028,1.8766,1.8837,6.576,74.532,75.314,1496.8,-0.022156,893.03,0.60643,liquid
298.0,4.0,997.22,0.0010028,1.8766,1.8838,6.5759,74.532,75.313,1496.8,-0.022156,893.03,0.60644,liquid
298.0,4.1,997.23,0.0010028,1.8766,1.884,6.5759,74.531,75.312,1496.8,-0.022156,893.03,0.60645,liquid
298.0,4.2,997.23,0.0010028,1.8766,1.8842,6.5758,74.531,75.312,1496.8,-0.022156,893.03,0.60645,liquid
298.0,4.3,997.23,0.0010028,1.8766,1.8843,6.5758,74.53,75.311,1496.8,-0.022156,893.03,0.60646,liquid
298.0,4.4,997.24,0.0010028,1.8766,1.8845,6.5757,74.529,75.311,1496.9,-0.022156,893.02,0.60646,liquid
298.0,4.5,997.24,0.0010028,1.8766,1.8847,6.5757,74.529,75.31,1496.9,-0.022156,893.02,0.60647,liquid
298.0,4.6,997.25,0.0010028,1.8765,1.8849,6.5756,74.528,75.31,1496.9,-0.022156,893.02,0.60647,liquid
298.0,4.7,997.25,0.0010028,1.8765,1.885,6.5756,74.528,75.309,1496.9,-0.022156,893.02,0.60648,liquid
298.0,4.8,997.26,0.0010028,1.8765,1.8852,6.5755,74.527,75.309,1496.9,-0.022156,893.02,0.60649,liquid
